Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent.Rate..m.s.,Density_mg_m3,Flag,time
2019-07-24T11:30:30Z,0.031,26.0569,1.0882,1.3024,27.414,27.983013,6.9304,85.479,6.791,290.7252,1837.4,1.3856003811886441,0.213,996.7861,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.088,26.0561,1.0915,1.3185,27.409,27.97021,6.9269,85.412,6.791,291.1042,1890.6,1.385356475198946,0.217,996.7866,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.154,26.0559,1.1126,1.3389,27.414,27.967897,6.917,85.269,6.79,291.5999,2185.5,1.3856280050383976,0.217,996.787,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.219,26.0494,1.1693,1.3525,27.409,27.955038,6.9072,85.126,6.787,292.0721,2152,1.385550967482513,0.213,996.789,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.273,26.0328,1.214,1.3519,27.405,27.941607,6.8991,85.001,6.783,292.4253,1739.4,1.3858236698279773,0.209,996.7936,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.317,26.0159,1.2286,1.3647,27.405,27.93238,6.8938,84.91,6.779,292.7734,1250.9,1.3863189845310693,0.204,996.7983,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.359,26.0026,1.2415,1.3427,27.389,27.9069,6.8935,84.881,6.778,293.0116,933.44,1.3858547582529555,0.2,996.802,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.408,25.9901,1.2655,1.2837,27.378,27.887298,6.8994,84.929,6.779,293.0685,778.98,1.3856336334936192,0.199,996.8056,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.463,25.973,1.2854,1.3058,27.384,27.885687,6.9082,85.018,6.779,293.0302,712.66,1.3864553075643271,0.199,996.8104,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.521,25.9551,1.2905,1.38,27.39,27.887413,6.9168,85.11,6.778,292.979,747.66,1.3873010194833904,0.195,996.8154,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.577,25.9397,1.3454,1.3955,27.414,27.908162,6.923,85.175,6.778,292.8804,796.15,1.3890359821491778,0.184,996.8197,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.626,25.9232,1.4541,1.3613,27.454,27.946213,6.9256,85.201,6.778,292.9554,598.21,1.3916603527408258,0.164,996.8243,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.665,25.9089,1.5129,1.327,27.476,27.966821,6.9252,85.191,6.778,293.2839,274.5,1.3932588770392291,0.138,996.8282,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.698,25.9004,1.5278,1.3414,27.477,27.966992,6.9214,85.142,6.778,293.5837,130.37,1.3935630770649274,0.112,996.8306,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.721,25.8948,1.547,1.3718,27.458,27.948287,6.9166,85.083,6.776,293.6545,110.41,1.392711430321205,0.089,996.8322,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.732,25.8902,1.5722,1.3337,27.441,27.930985,6.9133,85.043,6.774,293.623,108.41,1.3919374117721655,0.073,996.8335,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.742,25.8874,1.5895,1.3068,27.457,27.948132,6.9103,85.008,6.773,293.7197,108.27,1.3928763509953561,0.064,996.8343,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.756,25.8854,1.5912,1.3422,27.473,27.965276,6.9082,84.985,6.769,293.8771,110.27,1.3937916459978792,0.063,996.8349,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.772,25.8857,1.645,1.3683,27.455,27.947935,6.908,84.985,6.764,294.063,117.13,1.3928190738826816,0.071,996.8348,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.789,25.8876,1.7544,1.3599,27.436,27.928797,6.9076,84.98,6.758,294.4187,125.11,1.3917458444728936,0.085,996.8344,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.809,25.8882,1.8218,1.3386,27.433,27.924221,6.9052,84.946,6.753,294.7368,133.11,1.3915673137090165,0.1,996.8343,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.837,25.8893,1.8358,1.3401,27.405,27.892606,6.9008,84.884,6.748,294.7264,138.12,1.3900360353296024,0.11,996.8342,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.871,25.8915,1.8358,1.3456,27.38,27.863755,6.8974,84.833,6.746,294.5501,134.58,1.3886329699049864,0.114,996.8338,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.909,25.8917,1.8395,1.3399,27.412,27.892605,6.8987,84.839,6.747,294.4984,127.72,1.39033885654574,0.109,996.8339,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.945,25.8891,1.8555,1.3364,27.445,27.924208,6.9064,84.928,6.748,294.6176,120.16,1.3921810463332263,0.096,996.8348,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.971,25.8842,1.8726,1.3365,27.451,27.928628,6.9194,85.083,6.751,294.7865,110.06,1.3926465315116914,0.077,996.8362,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.984,25.8768,1.8892,1.3403,27.469,27.946049,6.9334,85.252,6.754,294.9051,100.36,1.3938286803863102,0.055,996.8381,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.988,25.8705,1.9093,1.3175,27.467,27.944503,6.9444,85.387,6.758,294.9334,91.796,1.3939078745426017,0.034,996.8399,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.99,25.8662,1.926,1.2908,27.432,27.909937,6.9492,85.45,6.76,294.9568,83.755,1.39216091846253,0.019,996.841,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.993,25.8633,1.934,1.3113,27.429,27.908778,6.9478,85.438,6.762,295.1013,77.535,1.392085888294637,0.011,996.8418,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.993,25.862,1.9367,1.3367,27.449,27.930501,6.9456,85.414,6.762,295.305,73.837,1.3931952686410676,0.01,996.8421,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.993,25.862,1.9246,1.3349,27.438,27.918811,6.9446,85.403,6.761,295.4412,71.586,1.3926062429161592,0.014,996.8421,0,24 Jul 11:30
2019-07-24T11:30:30Z,0.996,25.8641,1.8999,1.3219,27.415,27.894323,6.9442,85.396,6.758,295.6294,70.345,1.3913126151174091,0.018,996.8416,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.001,25.8679,1.8898,1.311,27.409,27.888201,6.945,85.403,6.754,295.8593,69.858,1.3908791382323258,0.021,996.8406,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.01,25.8711,1.8895,1.3025,27.429,27.908226,6.946,85.413,6.753,295.9847,69.605,1.3918552894769185,0.025,996.8398,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.02,25.8715,1.8876,1.2835,27.466,27.946108,6.9476,85.432,6.754,296.1131,69.406,1.393824289654287,0.026,996.8397,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.027,25.8689,1.8928,1.2785,27.486,27.965565,6.9486,85.447,6.755,296.2921,69.387,1.3949720608033933,0.025,996.8404,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.033,25.8665,1.8909,1.2744,27.473,27.953138,6.9474,85.433,6.755,296.4286,69.477,1.3943468784958926,0.023,996.841,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.038,25.8662,1.8819,1.2673,27.443,27.92274,6.945,85.404,6.756,296.5586,69.542,1.3927492344319505,0.021,996.8412,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.042,25.8664,1.8796,1.2906,27.434,27.915257,6.9435,85.389,6.757,296.7458,69.458,1.3922613820524452,0.022,996.8412,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.046,25.8666,1.8815,1.3266,27.443,27.926103,6.9454,85.417,6.756,296.8852,68.802,1.3927373176306403,0.028,996.8411,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.05,25.8673,1.8873,1.3421,27.443,27.926999,6.9517,85.499,6.755,296.9535,67.264,1.3927165911193478,0.038,996.8409,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.057,25.8677,1.8887,1.315,27.442,27.926086,6.9594,85.594,6.755,297.0563,65.07,1.3926511725504676,0.048,996.8408,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.072,25.8699,1.8899,1.2932,27.432,27.915069,6.9648,85.655,6.754,297.1814,62.807,1.392050559219795,0.058,996.8404,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.095,25.874,1.9368,1.3402,27.44,27.920682,6.9669,85.674,6.752,297.261,60.605,1.3923574301059443,0.063,996.8394,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.117,25.8764,2.022,1.3917,27.452,27.930501,6.9656,85.651,6.752,297.33,58.431,1.3929285895375798,0.063,996.8388,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.136,25.8766,2.0615,1.3586,27.43,27.906906,6.9637,85.626,6.752,297.4994,56.663,1.3917447027371201,0.061,996.8389,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.149,25.8735,2.0505,1.3015,27.413,27.889176,6.9639,85.628,6.753,297.8464,55.251,1.3909259642702068,0.057,996.8398,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.158,25.8682,2.0356,1.2914,27.429,27.906454,6.9627,85.613,6.75,298.1707,54.034,1.3919389332557184,0.053,996.8412,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.166,25.8635,2.0201,1.3012,27.448,27.925483,6.9598,85.578,6.746,298.4089,53.346,1.3930951022576126,0.052,996.8424,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.179,25.8622,2.0108,1.3215,27.452,27.928914,6.9554,85.523,6.743,298.6609,53.128,1.3933475410952951,0.052,996.8429,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.197,25.8629,2.0094,1.3409,27.471,27.947932,6.9472,85.42,6.74,298.7231,53.175,1.3943440504847264,0.052,996.8427,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.215,25.8634,1.9941,1.3385,27.488,27.965092,6.9372,85.297,6.74,298.7303,53.391,1.395239404587484,0.052,996.8427,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.228,25.8632,1.974,1.3257,27.469,27.946067,6.9282,85.186,6.74,298.9198,53.684,1.3942276281675627,0.052,996.8428,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.238,25.8623,1.965,1.3171,27.432,27.908225,6.9227,85.12,6.74,299.1221,54.097,1.3922727510235113,0.051,996.8431,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.248,25.8614,1.9556,1.3001,27.412,27.888217,6.9225,85.117,6.74,299.2836,54.421,1.391228284942799,0.049,996.8434,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.259,25.8614,1.9726,1.2847,27.418,27.894496,6.9257,85.156,6.739,299.4958,54.556,1.3915494152043266,0.049,996.8435,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.273,25.8619,2.0328,1.2943,27.445,27.920699,6.9323,85.235,6.739,299.7091,54.562,1.3929802580249036,0.05,996.8434,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.288,25.8621,2.0849,1.3181,27.477,27.951251,6.9421,85.35,6.74,299.8836,54.422,1.3946878172666477,0.053,996.8434,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.302,25.8622,2.0999,1.3092,27.475,27.946675,6.9531,85.478,6.741,300.0573,54.129,1.394577528312124,0.056,996.8434,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.315,25.8621,2.0919,1.2859,27.46,27.928815,6.9607,85.565,6.742,300.1743,53.748,1.393777036235073,0.058,996.8435,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.328,25.8601,2.0838,1.3309,27.46,27.925631,6.9612,85.562,6.743,300.2655,53.327,1.3938360500173965,0.058,996.8441,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.343,25.8562,2.0801,1.3616,27.445,27.908167,6.9559,85.491,6.743,300.3857,52.83,1.3931478173286032,0.057,996.8452,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.361,25.8521,2.0816,1.3303,27.446,27.907996,6.9469,85.376,6.744,300.5092,52.364,1.3933223379505166,0.056,996.8464,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.377,25.8472,2.0847,1.3125,27.462,27.923559,6.9339,85.213,6.744,300.6409,51.965,1.3943241305306986,0.053,996.8477,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.39,25.8417,2.0829,1.3096,27.446,27.905994,6.9186,85.022,6.744,300.7725,51.677,1.3936295176749618,0.05,996.8493,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.401,25.8374,2.0856,1.3284,27.427,27.885961000000002,6.9041,84.843,6.743,300.8963,51.693,1.392738601844772,0.046,996.8504,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.41,25.835,2.0832,1.3436,27.413,27.871673,6.892,84.693,6.741,300.847,52.04,1.3920593562639707,0.042,996.8511,0,24 Jul 11:30
