Project,site_no,collect_date,Hour,sample_ID,Subsample,LowestTaxonomicLevelOfID,TaxaID,Nauplius,ObjectiveMagnification,MarksInOcularMicrometer_No.,MarksInOcularMicrometer_width_No.,MarksInOcularMicrometer_height_No.,Initials,Notes
FCR2019,FCR_50,17-Jun-19,,F17Jun19_50_6.5_20,A,Order,Cyclopoida,,30x,2.3,,,HLW,This is a practice sample; I definitely lost some zoops when I was trying to concentrate
FCR2019,FCR_50,17-Jun-19,,F17Jun19_50_6.5_20,A,Genus,Daphnia,,50x,4,,,HLW,
FCR2019,FCR_50,17-Jun-19,,F17Jun19_50_6.5_20,A,Order,Calanoida,,75x,3.2,,,HLW,
FCR2019,FCR_50,17-Jun-19,,F17Jun19_50_6.5_20,A,Genus,Daphnia,,75x,8.3,,,HLW,
FCR2019,FCR_50,17-Jun-19,,F17Jun19_50_6.5_20,A,Order,Ploimida,,75x,1.4,,,HLW,
FCR2019,FCR_50,17-Jun-19,,F17Jun19_50_6.5_20,A,Genus,Daphnia,,50x,4.5,,,HLW,
FCR2019,FCR_50,17-Jun-19,,F17Jun19_50_6.5_20,A,Order,Cyclopoida,,60x,2.6,,,HLW,
FCR2019,FCR_50,17-Jun-19,,F17Jun19_50_6.5_20,A,Genus,Daphnia,,75x,6.2,,,HLW,
FCR2019,FCR_50,17-Jun-19,,F17Jun19_50_6.5_20,A,Order,Ploimida,,70x,1.4,,,HLW,
FCR2019,FCR_50,17-Jun-19,,F17Jun19_50_6.5_20,A,Genus,Ascomorpha,,70x,1.6,,,HLW,
FCR2019,FCR_50,17-Jun-19,,F17Jun19_50_6.5_20,A,Order,Ploimida,,75x,1.1,,,HLW,
FCR2019,FCR_50,17-Jun-19,,F17Jun19_50_6.5_20,A,Order,Cyclopoida,nauplius,75x,1.5,,,HLW,
FCR2019,FCR_50,17-Jun-19,,F17Jun19_50_6.5_20,A,Order,Calanoida,,60x,2.6,,,HLW,
FCR2019,FCR_50,17-Jun-19,,F17Jun19_50_6.5_20,A,Order,Cyclopoida,,75x,2.1,,,HLW,
FCR2019,FCR_50,17-Jun-19,,F17Jun19_50_6.5_20,A,Genus,Ascomorpha,,75x,1,,,HLW,
FCR2019,FCR_50,17-Jun-19,,F17Jun19_50_6.5_20,A,Order,Cyclopoida,nauplius,70x,1.3,,,HLW,
FCR2019,FCR_50,17-Jun-19,,F17Jun19_50_6.5_20,A,Order,Cyclopoida,nauplius,75x,1.1,,,HLW,
