Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2020-08-12T02:41:07Z,-0.727,32.0792,-0.9081,-0.2696,5.719,6.530225,4.7791,93.628,14.313,-1240.7455,924.42,0.24168305840176257,9.5472e-12,0
2020-08-12T02:41:07Z,-0.727,32.0787,-0.9074,-0.2803,6.689,7.636613,4.7787,93.628,14.312,-1240.7455,780.26,0.28336161227729806,1.0502e-10,0
2020-08-12T02:41:07Z,-0.727,32.0781,-0.9067,-0.2661,7.757,8.855078,4.7786,93.622,14.31,-1240.7455,594.16,0.3296618960982751,1.1552e-9,0
2020-08-12T02:41:07Z,-0.727,32.0778,-0.9093,-0.3033,8.634,9.85621,4.7789,93.628,14.309,-1240.7455,561.19,0.3679651552133037,1.2707e-8,0
2020-08-12T02:41:07Z,-0.727,32.077,-0.9197,-0.4563,8.744,9.98203,4.7795,93.642,14.309,-1240.7454,806.04,0.37279154278494475,1.3978e-7,0
2020-08-12T02:41:07Z,-0.727,32.0768,-0.9173,-0.5353,8.146,9.299063,4.78,93.662,14.31,-1240.7444,1260.2,0.3466292811251913,0,0
2020-08-12T02:41:07Z,-0.727,32.0757,-0.9092,-0.4697,7.396,8.442729,4.7784,93.674,14.314,-1240.7336,1525.9,0.3139823014676737,0,0
2020-08-12T02:41:07Z,-0.727,32.0753,-1.0124,-0.3495,6.78,7.739597,4.7798,93.657,14.317,-1240.6143,1582,0.2873085774096519,0,0
2020-08-12T02:41:07Z,-0.727,32.0736,-1.2123,-0.1808,6.361,7.2611,4.7802,93.643,14.317,-1239.3018,1611.2,0.26925216259811185,0.002,0
2020-08-12T02:41:07Z,-0.727,32.0742,-1.3226,-0.0787,6.273,7.156252,4.7812,93.636,14.327,-1224.8653,1617.9,0.26546370144583503,0.008,0
2020-08-12T02:41:07Z,-0.727,32.0709,-1.3731,-0.0752,8.758,9.956935,4.7837,93.627,14.506,-1066.063,1479.9,0.3734482613375078,0.018,0
2020-08-12T02:41:07Z,-0.726,32.0739,-1.8709,-0.2419,15.354,17.355131,4.7805,93.639,14.788,-598.727,1373.4,0.6680653896992409,0.034,0
2020-08-12T02:41:07Z,-0.719,32.0661,-2.7829,-0.5836,24.121,27.069416,4.781,93.653,14.812,-73.597,1578.3,1.0723060671244844,0.058,0
2020-08-12T02:41:07Z,-0.704,32.075,-3.2637,-0.7388,30.9,34.445571,4.7805,93.663,14.643,147.9866,1823.9,1.3917419034785412,0.089,0
2020-08-12T02:41:07Z,-0.68,32.0283,-3.2304,-0.5051,31.971,35.428024,4.7823,93.696,14.518,170.3491,1915.3,1.4440298775295186,0.123,0
