Project,site_no,collect_date,Hour,sample_ID,DepthOfTow_m,InitialSampleVolume_mL,Subsample,SubsampleVolume_mL,Zooplankton_No.,date_processed,mesh_size_μm,INT,Notes,PhantomMidgePresence_YesNo
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,10,1000,A,2,12,28-Sep-20,80,HLW,sample is kind of degraded - prob not enough etoh added to prperly preserve,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,10,1000,B,5,34,28-Sep-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,10,1000,C,5,18,28-Sep-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,10,1000,D,5,19,28-Sep-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,10,1000,E,5,22,28-Sep-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,12:52,B_pel_12Aug20_noon_rep2,10,1000,A,5,13,28-Sep-20,80,HLW,super muddy sample - I think these tows hit the platform and consequently got a lot of dirt knocked into the net :/,
FCR2020,BVR_50,12-Aug-20,12:52,B_pel_12Aug20_noon_rep2,10,1000,B,5,23,28-Sep-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,12:52,B_pel_12Aug20_noon_rep2,10,1000,C,5,22,28-Sep-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,12:52,B_pel_12Aug20_noon_rep2,10,1000,D,5,17,28-Sep-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,12:52,B_pel_12Aug20_noon_rep2,10,1000,E,5,20,28-Sep-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,12:06,B_pel_12Aug20_noon_epi_rep1,4,500,A,4,47,29-Sep-20,80,HLW,lots of feathery looking phytos,
FCR2020,BVR_50,12-Aug-20,12:06,B_pel_12Aug20_noon_epi_rep1,4,500,B,4,85,29-Sep-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,12:06,B_pel_12Aug20_noon_epi_rep1,4,500,C,2,54,29-Sep-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,12:15,B_pel_12Aug20_noon_epi_rep2,4,500,A,2,53,29-Sep-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,12:15,B_pel_12Aug20_noon_epi_rep2,4,500,B,2,36,29-Sep-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,12:15,B_pel_12Aug20_noon_epi_rep2,4,500,C,1,19,29-Sep-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,13:02,B_pel_12Aug20_noon_20_rep2,10,500,A,2,0,29-Sep-20,20,HLW,ignore rep 1 - filtered through 74 um sieve (and also rep 1 hit platfirm so kind of unusable anyway),
FCR2020,BVR_50,12-Aug-20,13:02,B_pel_12Aug20_noon_20_rep2,10,500,B,5,0,29-Sep-20,20,HLW,This is a very clear sample - the only thing I see is 2 choborus floating around; some phytos/scattered debris under the scope,
FCR2020,BVR_50,12-Aug-20,13:02,B_pel_12Aug20_noon_20_rep2,10,500,C,10,0,29-Sep-20,20,HLW,,
FCR2020,BVR_50,12-Aug-20,13:27,B_pel_12Aug20_noon_epi_20_rep1,4,200,A,5,1,30-Sep-20,20,HLW,"Starting to think this is a sieve problem and not a net problem - other 20 um samples have visible zoops but after sieving, water looks clear…",
FCR2020,BVR_50,12-Aug-20,13:27,B_pel_12Aug20_noon_epi_20_rep1,4,200,B,10,2,30-Sep-20,20,HLW,,
FCR2020,BVR_50,12-Aug-20,18:18,B_pel_12Aug20_sunset_epi_h1_rep1,4,700,A,2,59,30-Sep-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,18:18,B_pel_12Aug20_sunset_epi_h1_rep1,4,700,B,1,14,30-Sep-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,18:18,B_pel_12Aug20_sunset_epi_h1_rep1,4,700,C,2,39,30-Sep-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,18:37,B_pel_12Aug20_sunset_epi_h1_rep2,4,700,A,1,41,30-Sep-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,18:37,B_pel_12Aug20_sunset_epi_h1_rep2,4,700,B,1,43,30-Sep-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,18:37,B_pel_12Aug20_sunset_epi_h1_rep2,4,700,C,1,37,30-Sep-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,19:16,B_pel_12Aug20_sunset_epi_h2_rep1,4,700,A,2,57,2-Oct-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,19:16,B_pel_12Aug20_sunset_epi_h2_rep1,4,700,B,1,19,2-Oct-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,19:16,B_pel_12Aug20_sunset_epi_h2_rep1,4,700,C,2,76,2-Oct-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,19:24,B_pel_12Aug20_sunset_epi_h2_rep2,4,700,A,2,47,2-Oct-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,19:24,B_pel_12Aug20_sunset_epi_h2_rep2,4,700,B,2,42,2-Oct-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,19:24,B_pel_12Aug20_sunset_epi_h2_rep2,4,700,C,1,24,2-Oct-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,20:16,B_pel_12Aug20_sunset_epi_h3_rep1,4,1000,A,2,26,5-Oct-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,20:16,B_pel_12Aug20_sunset_epi_h3_rep1,4,1000,B,2,12,5-Oct-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,20:16,B_pel_12Aug20_sunset_epi_h3_rep1,4,1000,C,5,54,5-Oct-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,20:16,B_pel_12Aug20_sunset_epi_h3_rep1,4,1000,D,2,14,5-Oct-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,20:35,B_pel_12Aug20_sunset_epi_h3_rep2,4,1000,A,4,73,5-Oct-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,20:35,B_pel_12Aug20_sunset_epi_h3_rep2,4,1000,B,2,47,5-Oct-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,20:35,B_pel_12Aug20_sunset_epi_h3_rep2,4,1000,C,2,21,5-Oct-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,21:16,B_pel_12Aug20_sunset_epi_h4_rep1,4,1000,A,1,36,6-Oct-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,21:16,B_pel_12Aug20_sunset_epi_h4_rep1,4,1000,B,2,36,6-Oct-20,80,HLW,3 tangled chaoborus,yes
FCR2020,BVR_50,12-Aug-20,21:16,B_pel_12Aug20_sunset_epi_h4_rep1,4,1000,C,2,31,6-Oct-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,21:24,B_pel_12Aug20_sunset_epi_h4_rep2,4,1000,A,2,46,6-Oct-20,80,HLW,,
FCR2020,BVR_50,12-Aug-20,21:24,B_pel_12Aug20_sunset_epi_h4_rep2,4,1000,B,2,41,6-Oct-20,80,HLW,x1 chaoborus,yes
FCR2020,BVR_50,12-Aug-20,21:24,B_pel_12Aug20_sunset_epi_h4_rep2,4,1000,C,2,45,6-Oct-20,80,HLW,,
FCR2020,BVR_50,13-Aug-20,0:22,B_pel_13Aug20_midnight_rep1,10,1000,A,2,10,7-Oct-20,80,HLW,x2 ostracods,
FCR2020,BVR_50,13-Aug-20,0:22,B_pel_13Aug20_midnight_rep1,10,1000,B,5,22,7-Oct-20,80,HLW,,
