Project,site_no,collect_date,Hour,sample_ID,Subsample,LowestTaxonomicLevelOfID,TaxaID,Nauplius,ObjectiveMagnification,MarksInOcularMicrometer_No.,MarksInOcularMicrometer_Width_No.,MarksInOcularMicrometer_Height_No.,Initials,Notes
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,A,Genus,Keratella,,75x,1.1,0.8,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,A,Suborder,Cladocera,,,,,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,A,Genus,Trichocerca,,75x,1.2,0.5,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,A,Subclass,Copepoda,,,,,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,A,Family,Bosminidae,,,,,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,A,Genus,Keratella,,75x,1.1,0.8,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,A,Order,Cyclopoida,,75x,4.4,,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,A,Genus,Keratella,,75x,1,0.5,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,A,Family,Daphniidae,,,,,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,A,Genus,Keratella,,75x,1.1,0.5,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,A,Genus,Keratella,,75x,1.1,0.8,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,A,Genus,Keratella,,75x,1.1,0.8,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Order,Cyclopoida,,75x,4,,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Genus,Keratella,,75x,0.8,0.4,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Subclass,Copepoda,,,,,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Order,Cyclopoida,nauplius,75x,1.7,,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Order,Cyclopoida,,75x,3.2,,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Order,Cyclopoida,,75x,3.7,,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Order,Calanoida,nauplius,75x,1.4,,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Genus,Keratella,,75x,1,0.7,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Genus,Keratella,,75x,0.9,0.4,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Genus,Keratella,,75x,1.1,0.5,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Genus,Keratella,,75x,1,0.7,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Genus,Keratella,,75x,1.1,0.8,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Genus,Keratella,,75x,0.9,0.5,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Genus,Keratella,,75x,1.2,0.8,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Genus,Keratella,,75x,0.9,0.4,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Genus,Keratella,,75x,1.1,0.8,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Species,E. alata,,75x,1.6,1.1,1.1,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Genus,Keratella,,75x,1.1,0.7,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Genus,Keratella,,75x,1.1,0.8,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Genus,Keratella,,75x,0.8,0.4,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Genus,Keratella,,,,,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Genus,Keratella,,,,,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Genus,Keratella,,,,,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Genus,Keratella,,,,,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Order,Cyclopoida,nauplius,75x,1.3,,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Family,Daphniidae,,,,,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Genus,Keratella,,,,,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Order,Cyclopoida,nauplius,75x,1.3,,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Genus,Keratella,,,,,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Suborder,Cladocera,,,,,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Order,Cyclopoida,nauplius,75x,1.5,,,HLW,
FCR2020,BVR_50,12-Aug-20,12:40,B_pel_12Aug20_noon_rep1,B,Species,C. dubia,,75x,3.9,,,HLW,
