"","DateTime","GreenAlgae_ugL","Bluegreens_ugL","Browns_ugL","Mixed_ugL","YellowSubstances_ugL","TotalConc_ugL","Transmission_perc","Depth_m","Date","DOY"
"1",2016-08-03 13:00:00,5.41,0.94,4.43,2.47,0,13.25,97.54,0.3,2016-08-03,216
"2",2016-08-03 13:00:00,5.41,0.94,4.43,2.47,0,13.25,97.54,0.3,2016-08-03,216
"3",2016-08-03 13:00:00,6.25,0.86,4.76,2.85,0,14.71,100,0.7,2016-08-03,216
"4",2016-08-03 13:00:00,5.55,0.9,5.61,2.57,0,14.63,100,1,2016-08-03,216
"5",2016-08-03 13:00:00,6.18,0.84,5.18,2.73,0,14.94,100,1.2,2016-08-03,216
"6",2016-08-03 13:00:00,6.42,0.78,4.77,2.61,0,14.59,100,1.6,2016-08-03,216
"7",2016-08-03 13:00:00,6.14,0.94,5.06,2.56,0,14.71,100,1.9,2016-08-03,216
"8",2016-08-03 13:00:00,5.9,0.87,5.13,2.64,0,14.54,100,2.2,2016-08-03,216
"9",2016-08-03 13:00:00,5.73,0.98,5.39,2.44,0,14.54,100,2.5,2016-08-03,216
"10",2016-08-03 13:00:00,5.67,0.9,5.03,2.42,0,14.02,100,2.8,2016-08-03,216
"11",2016-08-03 13:00:00,6.39,1.61,9.07,3.02,0,20.09,100,3.1,2016-08-03,216
"12",2016-08-03 13:00:00,5.8,1.9,9.24,2.66,0,19.59,100,3.4,2016-08-03,216
"13",2016-08-03 13:00:00,5.48,1.71,6.69,1.5,0.01,15.37,100,3.7,2016-08-03,216
"14",2016-08-03 13:00:00,4.56,1.3,4.94,1.03,0.28,11.83,100,4,2016-08-03,216
"15",2016-08-03 13:00:00,3.15,0.86,2.19,0.68,0.54,6.87,100,4.3,2016-08-03,216
"16",2016-08-03 13:00:00,2.96,0.67,0.99,0.32,0.49,4.94,100,4.6,2016-08-03,216
"17",2016-08-03 13:00:00,4.86,0.96,1.09,1.91,0.31,8.82,100,4.9,2016-08-03,216
"18",2016-08-03 13:00:00,4.33,1.19,1.16,4.61,0.21,11.29,100,5.2,2016-08-03,216
"19",2016-08-03 13:00:00,4.41,1.68,1.71,9.31,0.08,17.11,100,5.4,2016-08-03,216
"20",2016-08-03 13:00:00,3.7,2.36,1.79,11.52,0.05,19.37,100,5.8,2016-08-03,216
"21",2016-08-03 13:00:00,1.94,15.24,0,12.83,0.11,30.01,100,6.1,2016-08-03,216
"22",2016-08-03 13:00:00,0,48.48,0,15.35,0,63.83,97.91,6.4,2016-08-03,216
"23",2016-08-03 13:00:00,0,47.41,0,19.29,0,66.7,96.7,6.7,2016-08-03,216
"24",2016-08-03 13:00:00,0,37.88,0,16.58,0.81,54.46,98.54,7,2016-08-03,216
"25",2016-08-03 13:00:00,2.83,26.57,0,9.98,1.1,39.38,100,7.4,2016-08-03,216
"26",2016-08-03 13:00:00,2.47,28.25,0,9.5,1.07,40.22,100,7.6,2016-08-03,216
"27",2016-08-03 13:00:00,1.75,30.2,0,8.49,1.24,40.45,100,7.9,2016-08-03,216
"28",2016-08-03 13:00:00,1.07,32.07,0,8.42,1.18,41.57,100,8.2,2016-08-03,216
"29",2016-08-03 13:00:00,0.13,35.47,0,8.43,1.2,44.02,100,8.5,2016-08-03,216
"30",2016-08-03 13:00:00,0,37.6,0,8.92,1.1,46.52,100,8.8,2016-08-03,216
"31",2016-08-03 13:00:00,0,40.52,0,9.14,0.82,49.66,99.85,9.1,2016-08-03,216
"32",2016-08-03 13:00:00,0,44.3,0,8.73,0.83,53.03,99,9.4,2016-08-03,216
"33",2016-08-03 13:00:00,0,42.92,0,8.07,0.78,50.99,99.46,9.7,2016-08-03,216
"34",2016-08-03 13:00:00,0,45.88,0,8.41,0.71,54.29,98.42,9.9,2016-08-03,216
"35",2016-08-03 13:00:00,0,50.82,0,9.32,0.6,60.14,97.41,10.3,2016-08-03,216
"36",2016-08-03 21:00:00,5.72,1.45,4.07,2.06,0,13.3,100,0.3,2016-08-03,216
"37",2016-08-03 21:00:00,5.68,1.33,3.97,2.1,0,13.07,100,0.4,2016-08-03,216
"38",2016-08-03 21:00:00,5.58,1.28,4.13,2.14,0,13.14,100,0.7,2016-08-03,216
"39",2016-08-03 21:00:00,5.68,1.46,4.06,2.08,0,13.27,100,1,2016-08-03,216
"40",2016-08-03 21:00:00,5.78,1.37,4.23,1.92,0,13.3,100,1.3,2016-08-03,216
"41",2016-08-03 21:00:00,5.7,1.16,4.08,2.27,0,13.2,100,1.6,2016-08-03,216
"42",2016-08-03 21:00:00,5.99,1.31,4.57,2.14,0,14,100,1.9,2016-08-03,216
"43",2016-08-03 21:00:00,5.79,1.42,4.25,1.95,0,13.41,100,2.1,2016-08-03,216
"44",2016-08-03 21:00:00,5.87,1.26,4.32,2.13,0,13.59,100,2.6,2016-08-03,216
"45",2016-08-03 21:00:00,5.98,1.4,4.29,2.05,0,13.72,100,2.8,2016-08-03,216
"46",2016-08-03 21:00:00,5.77,1.39,4.64,2.09,0,13.9,100,3.1,2016-08-03,216
"47",2016-08-03 21:00:00,6.26,1.2,4.27,2.43,0,14.16,100,3.4,2016-08-03,216
"48",2016-08-03 21:00:00,6.1,1.5,4.76,2.2,0,14.56,100,3.7,2016-08-03,216
"49",2016-08-03 21:00:00,5.42,1.4,4.54,1.3,0,12.65,100,4,2016-08-03,216
"50",2016-08-03 21:00:00,3.47,0.93,2.86,1.02,0.29,8.29,100,4.3,2016-08-03,216
"51",2016-08-03 21:00:00,3.2,1.58,2.76,1.04,0.31,8.57,100,4.6,2016-08-03,216
"52",2016-08-03 21:00:00,4.23,2.48,1.84,2.34,0.31,10.89,100,4.9,2016-08-03,216
"53",2016-08-03 21:00:00,6.62,2.85,1.2,5.2,0.22,15.87,100,5.2,2016-08-03,216
"54",2016-08-03 21:00:00,6.78,4.04,0.91,5.97,0.19,17.7,100,5.5,2016-08-03,216
"55",2016-08-03 21:00:00,3.77,7.13,0,8.35,0.25,19.25,100,5.8,2016-08-03,216
"56",2016-08-03 21:00:00,2.08,18.6,0,10.55,0.23,31.23,100,6.2,2016-08-03,216
"57",2016-08-03 21:00:00,0.64,35.99,0,17.04,0.5,53.67,99.28,6.4,2016-08-03,216
"58",2016-08-03 21:00:00,4.97,32.18,0,18.53,0.57,55.67,98.24,6.7,2016-08-03,216
"59",2016-08-03 21:00:00,6.69,30.75,0,24.46,0.76,61.91,99.41,7,2016-08-03,216
"60",2016-08-03 21:00:00,6.97,30.16,0,23.42,0.83,60.54,99.55,7.3,2016-08-03,216
"61",2016-08-03 21:00:00,5.31,31.78,0,23.32,0.95,60.41,100,7.6,2016-08-03,216
