Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
7/10/2019 10:38:12 AM	1.25	0.00	0.35	0.13	0.00	0.00	0.00	0.16	1.72	74.35	0.21	26.29	660	0	156	4	0	0	0	0	821	129.62	2.76	0.57	2.82	4.11	4.91	6.93	1.02	39.70	12.65
7/10/2019 10:38:14 AM	0.69	0.00	0.31	0.06	0.00	0.00	0.00	0.43	1.05	72.74	0.33	26.32	363	0	138	2	0	0	0	0	503	126.81	2.78	1.04	2.43	5.90	4.00	6.85	1.03	39.75	12.63
7/10/2019 10:38:17 AM	1.95	0.00	0.00	0.08	0.00	0.00	0.00	0.26	2.03	73.40	0.44	26.30	1034	0	0	2	0	0	0	0	1036	127.95	2.07	2.24	2.43	5.45	4.83	8.54	1.04	39.86	12.63
7/10/2019 10:38:19 AM	0.18	0.00	1.22	0.00	0.00	0.00	0.00	0.42	1.40	74.25	0.58	26.33	94	0	550	0	0	0	0	0	644	129.43	4.56	0.53	3.56	6.35	2.68	9.24	1.06	39.94	12.67
7/10/2019 10:38:22 AM	0.58	0.00	1.85	0.00	0.00	0.00	0.00	0.16	2.44	73.15	0.77	26.35	310	0	834	0	0	0	0	0	1143	127.52	5.43	0.80	2.79	5.13	4.35	11.57	1.08	40.01	12.67
7/10/2019 10:38:24 AM	0.69	0.00	1.78	0.00	0.00	0.00	0.00	0.24	2.47	73.77	0.83	26.27	365	0	803	0	0	0	0	0	1168	128.60	5.56	1.37	3.35	6.12	4.10	12.19	1.08	40.10	12.67
7/10/2019 10:38:26 AM	1.07	0.35	1.25	0.00	0.00	0.00	0.00	0.29	2.66	72.69	0.94	26.21	565	353	561	0	0	0	0	0	1478	126.72	5.00	1.86	5.24	6.79	6.36	10.93	1.09	40.20	12.67
7/10/2019 10:38:29 AM	1.00	0.00	2.02	0.00	0.00	0.00	0.00	0.28	3.03	73.93	1.12	26.25	532	0	910	0	0	0	0	0	1442	128.88	6.45	1.91	4.07	7.54	5.39	14.16	1.11	40.27	12.69
7/10/2019 10:38:31 AM	1.93	0.03	1.34	0.00	0.00	0.00	0.00	0.21	3.30	73.52	1.28	26.24	1024	28	603	0	0	0	0	0	1655	128.16	5.53	0.55	6.15	7.15	4.30	13.36	1.13	40.36	12.69
7/10/2019 10:38:33 AM	1.60	0.00	1.41	0.00	0.00	0.00	0.00	0.20	3.01	73.07	1.48	26.22	847	0	636	0	0	0	0	0	1484	127.38	5.29	1.54	5.23	6.63	4.34	12.54	1.14	40.45	12.70
7/10/2019 10:38:36 AM	1.83	0.00	1.47	0.00	0.00	0.00	0.00	0.17	3.30	73.64	1.66	26.26	971	0	661	0	0	0	0	0	1632	128.38	5.46	0.72	4.73	6.58	4.74	13.57	1.16	40.51	12.71
7/10/2019 10:38:38 AM	1.37	0.04	1.69	0.00	0.00	0.00	0.00	0.17	3.10	73.17	1.84	26.23	727	41	761	0	0	0	0	0	1529	127.55	5.70	1.61	4.46	6.55	5.78	12.83	1.18	40.58	12.71
7/10/2019 10:38:41 AM	0.82	0.18	1.60	0.00	0.00	0.00	0.00	0.29	2.60	73.43	2.02	26.21	435	176	722	0	0	0	0	0	1333	128.01	5.67	1.24	5.00	6.97	5.48	11.69	1.20	40.67	12.74
7/10/2019 10:38:43 AM	2.07	0.04	1.00	0.00	0.00	0.00	0.00	0.29	3.11	73.28	2.21	26.20	1096	38	452	0	0	0	0	0	1586	127.75	4.79	1.35	4.50	7.56	5.58	12.97	1.22	40.74	12.73
7/10/2019 10:38:45 AM	1.88	0.00	1.21	0.00	0.00	0.00	0.00	0.25	3.09	73.23	2.39	26.18	995	0	546	0	0	0	0	0	1540	127.66	5.07	1.22	4.32	7.27	5.51	13.01	1.23	40.83	12.75
7/10/2019 10:38:48 AM	1.20	0.04	1.44	0.00	0.00	0.00	0.00	0.22	2.68	73.54	2.58	26.13	635	41	648	0	0	0	0	0	1324	128.21	5.15	1.38	4.18	6.40	5.31	11.57	1.25	40.91	12.75
7/10/2019 10:38:50 AM	1.21	0.00	1.56	0.00	0.00	0.00	0.00	0.22	2.77	73.75	2.70	26.07	641	0	704	0	0	0	0	0	1345	128.56	5.41	1.52	4.16	6.60	5.16	12.17	1.26	40.97	12.77
7/10/2019 10:38:53 AM	1.29	0.00	1.47	0.00	0.00	0.00	0.00	0.25	2.75	73.49	2.78	26.03	683	0	660	0	0	0	0	0	1342	128.11	5.31	1.38	4.35	6.77	4.76	12.26	1.27	41.05	12.76
7/10/2019 10:38:55 AM	1.72	0.06	1.19	0.00	0.00	0.00	0.00	0.23	2.96	73.39	2.86	25.95	910	55	534	0	0	0	0	0	1498	127.94	4.92	1.18	4.74	6.76	5.22	12.15	1.28	41.13	12.76
7/10/2019 10:38:57 AM	0.99	0.01	1.53	0.01	0.00	0.00	0.00	0.25	2.54	73.58	2.97	25.94	524	11	687	0	0	0	0	0	1222	128.27	5.29	1.84	4.00	6.58	5.09	11.59	1.29	41.21	12.79
7/10/2019 10:39:00 AM	1.27	0.12	1.23	0.00	0.00	0.00	0.00	0.28	2.63	73.43	3.10	25.96	673	123	554	0	0	0	0	0	1351	128.01	4.89	1.49	4.40	6.77	5.54	11.36	1.30	41.29	12.81
7/10/2019 10:39:02 AM	2.06	0.00	1.28	0.00	0.00	0.00	0.00	0.14	3.34	73.09	3.23	25.88	1089	0	578	0	0	0	0	0	1667	127.43	4.99	1.43	4.24	6.40	5.72	13.01	1.32	41.36	12.81
