Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
7/11/2019 3:05:32 AM	0.77	0.67	0.68	0.00	0.00	0.00	0.00	0.53	2.11	97.32	0.22	26.33	406	665	306	0	0	0	0	0	1377	169.62	4.40	1.38	5.71	8.15	7.30	9.56	1.02	38.56	12.20
7/11/2019 3:05:35 AM	0.69	0.66	0.63	0.00	0.00	0.00	0.00	0.54	1.99	98.58	0.38	26.30	365	664	285	0	0	0	0	0	1314	171.82	4.27	1.35	5.63	8.05	7.15	9.17	1.04	38.64	12.22
7/11/2019 3:05:37 AM	0.69	0.64	0.64	0.00	0.00	0.00	0.00	0.54	1.98	98.92	0.54	26.28	368	645	288	0	0	0	0	0	1301	172.41	4.28	1.25	5.50	8.05	7.15	9.21	1.05	38.72	12.21
7/11/2019 3:05:39 AM	0.72	0.61	0.51	0.05	0.00	0.00	0.00	0.54	1.89	98.68	0.63	26.34	381	610	231	1	0	0	0	0	1224	172.00	4.11	1.29	5.36	7.94	7.06	8.95	1.06	38.81	12.21
7/11/2019 3:05:42 AM	0.79	0.62	0.59	0.03	0.00	0.00	0.00	0.54	2.03	99.30	0.78	26.32	419	616	268	1	0	0	0	0	1304	173.08	4.30	1.25	5.47	8.16	7.21	9.46	1.08	38.89	12.23
7/11/2019 3:05:44 AM	0.82	0.60	0.59	0.00	0.00	0.00	0.00	0.53	2.02	99.44	0.90	26.28	434	604	267	0	0	0	0	0	1305	173.31	4.19	1.19	5.35	8.05	7.06	9.35	1.09	38.96	12.25
7/11/2019 3:05:47 AM	0.71	0.60	0.66	0.02	0.00	0.00	0.00	0.54	1.99	99.47	0.97	26.23	375	602	296	1	0	0	0	0	1273	173.38	4.35	1.28	5.39	8.06	7.09	9.39	1.09	39.03	12.24
7/11/2019 3:05:49 AM	0.73	0.62	0.62	0.00	0.00	0.00	0.00	0.52	1.97	99.29	1.03	26.14	389	615	279	0	0	0	0	0	1284	173.05	4.17	1.29	5.44	7.82	6.95	9.07	1.10	39.11	12.27
7/11/2019 3:05:51 AM	0.79	0.65	0.62	0.00	0.00	0.00	0.00	0.55	2.06	99.39	1.13	26.03	416	649	281	0	0	0	0	0	1346	173.23	4.30	1.29	5.58	8.19	7.23	9.46	1.11	39.20	12.27
7/11/2019 3:05:54 AM	0.81	0.64	0.56	0.00	0.00	0.00	0.00	0.52	2.02	99.25	1.21	26.06	432	644	251	0	0	0	0	0	1327	172.98	4.09	1.34	5.63	7.86	6.99	9.06	1.12	39.26	12.27
7/11/2019 3:05:56 AM	0.84	0.63	0.73	0.00	0.00	0.00	0.00	0.51	2.20	99.02	1.30	25.95	448	627	330	0	0	0	0	0	1405	172.59	4.48	1.37	5.66	8.05	7.23	9.82	1.13	39.34	12.25
7/11/2019 3:05:58 AM	0.87	0.64	0.65	0.00	0.00	0.00	0.00	0.54	2.15	99.34	1.38	25.91	462	636	291	0	0	0	0	0	1388	173.14	4.38	1.29	5.69	8.26	7.19	9.77	1.14	39.40	12.29
7/11/2019 3:06:01 AM	0.78	0.61	0.70	0.04	0.00	0.00	0.00	0.54	2.13	99.25	1.46	25.99	414	606	314	1	0	0	0	0	1336	172.98	4.57	1.25	5.52	8.33	7.33	9.93	1.14	39.49	12.29
7/11/2019 3:06:03 AM	0.88	0.59	0.60	0.04	0.00	0.00	0.00	0.54	2.11	99.30	1.51	25.96	465	585	271	1	0	0	0	0	1323	173.08	4.36	1.26	5.43	8.22	7.20	9.76	1.15	39.55	12.31
7/11/2019 3:06:06 AM	0.76	0.62	0.66	0.05	0.00	0.00	0.00	0.54	2.08	99.26	1.57	26.06	401	619	299	1	0	0	0	0	1320	173.00	4.48	1.28	5.54	8.21	7.33	9.69	1.15	39.62	12.30
7/11/2019 3:06:08 AM	0.81	0.64	0.66	0.00	0.00	0.00	0.00	0.54	2.11	99.19	1.64	26.04	428	643	296	0	0	0	0	0	1367	172.88	4.38	1.28	5.60	8.24	7.27	9.65	1.16	39.72	12.33
7/11/2019 3:06:10 AM	0.66	0.63	0.71	0.02	0.00	0.00	0.00	0.55	2.02	99.27	1.69	25.91	350	625	317	1	0	0	0	0	1293	173.01	4.49	1.21	5.46	8.19	7.28	9.53	1.17	39.79	12.33
7/11/2019 3:06:13 AM	0.63	0.62	0.70	0.00	0.00	0.00	0.00	0.54	1.95	99.07	1.77	25.73	336	616	315	0	0	0	0	0	1267	172.68	4.37	1.19	5.35	8.05	7.08	9.28	1.17	39.86	12.33
7/11/2019 3:06:15 AM	0.75	0.62	0.52	0.00	0.00	0.00	0.00	0.55	1.89	99.04	1.84	25.65	398	619	233	0	0	0	0	0	1250	172.61	4.02	1.20	5.31	7.99	6.97	8.92	1.18	39.93	12.35
7/11/2019 3:06:18 AM	0.89	0.68	0.55	0.00	0.00	0.00	0.00	0.54	2.12	99.32	1.92	25.65	473	681	247	0	0	0	0	0	1401	173.10	4.21	1.25	5.86	8.16	7.25	9.42	1.19	40.00	12.36
7/11/2019 3:06:20 AM	0.77	0.63	0.68	0.00	0.00	0.00	0.00	0.54	2.08	99.31	2.00	25.65	407	630	305	0	0	0	0	0	1342	173.10	4.39	1.31	5.55	8.16	7.20	9.59	1.20	40.08	12.37
7/11/2019 3:06:22 AM	0.72	0.69	0.68	0.00	0.00	0.00	0.00	0.54	2.10	99.42	2.08	25.71	384	694	307	0	0	0	0	0	1385	173.28	4.44	1.31	5.96	8.16	7.25	9.47	1.20	40.17	12.39
7/11/2019 3:06:25 AM	0.87	0.58	0.55	0.10	0.00	0.00	0.00	0.54	2.09	99.20	2.16	25.84	461	578	248	3	0	0	0	0	1289	172.89	4.40	1.31	5.46	8.22	7.31	9.75	1.21	40.23	12.39
7/11/2019 3:06:27 AM	0.81	0.63	0.65	0.00	0.00	0.00	0.00	0.53	2.09	99.27	2.22	25.95	430	635	292	0	0	0	0	0	1356	173.03	4.33	1.28	5.57	8.12	7.20	9.54	1.22	40.31	12.40
