Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Species,Parameter_vol=a3,Note
Rotifera,,Monogononta,,Ploima,,Brachionidae,,Anuraeopsis,,0.03,Individual
Rotifera,,Monogononta,,Ploima,,Gastropidae,,Ascomorpha,,0.12,Individual
Rotifera,,Monogononta,,Ploima,,Asplanchnidae,,Asplanchna,,0.23,Individual
Rotifera,,Monogononta,,Ploima,,Brachionidae,,Brachionus,,0.12,Individual
Rotifera,,Monogononta,,Flosculariaceae,,Conochilidae,,Conochilus,,0.26,Individual
Rotifera,,Monogononta,,Collothecaceae,,Collothecidae,,Collotheca,,1.8,Gelantinous hull included
Rotifera,,Monogononta,,Ploima,,Brachionidae,,Euchlanis,,0.1,Individual
Rotifera,,Monogononta,,Flosculariaceae,,Filinidae,,Filinia,,0.13,
Rotifera,,Monogononta,,Ploima,,Gastropidae,,Gastropus,,0.2,
Rotifera,,Monogononta,,Flosculariaceae,,Hexarthridae,,Hexarthra,,0.2,
Rotifera,,Monogononta,,Ploima,,Brachionidae,,Kellicottia,,0.03,
Rotifera,,Monogononta,,Ploima,,Brachionidae,,Keratella,quadrata,0.22,
Rotifera,,Monogononta,,Ploima,,Brachionidae,,Keratella,cochlearis,0.02,
Rotifera,,Monogononta,,Ploima,,Brachionidae,,Notholca,,0.035,
Rotifera,,Monogononta,,Ploima,,Synchaetidae,,Ploesoma,hudsoni,0.1,
Rotifera,,Monogononta,,Ploima,,Synchaetidae,,Ploesoma,traincanthum,0.23,
Rotifera,,Monogononta,,Ploima,,Synchaetidae,,Polyarthra,,0.28,
Rotifera,,Monogononta,,Flosculariacaea,,Testudinellidae,,Pompbolyx,,0.15,
Rotifera,,Monogononta,,Ploima,,Synchaetidae,,Synchaeta,,0.1,
Rotifera,,Monogononta,,Flosculariaceae,,Testudinellidae,,Testudinella,,0.08,
Rotifera,,Monogononta,,Ploima,,Trichocercidae,,Trichocerca,,0.52,
