Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2019-07-10T11:33:38Z,-0.649,28.6853,-0.1154,-0.5341,27.193,29.082094,7.3319,94.554,7.075,329.6087,449.29,1.300922763670458,0.017,0
2019-07-10T11:33:38Z,-0.649,28.6854,-0.1144,-0.5288,37.26,39.697195,7.3633,94.574,6.898,542.774,486.34,1.8146978952305093,0.043,0
2019-07-10T11:33:38Z,-0.647,28.6812,-0.1172,-0.4681,39.507,41.928409,7.3968,94.6,6.952,366.6815,552.99,1.93104706663873,0.083,0
2019-07-10T11:33:38Z,-0.634,28.6866,-0.1053,0.0368,36.319,38.416319,7.4227,94.62,7.041,333.3165,645.49,1.7661523015327731,0.129,0
2019-07-10T11:33:38Z,-0.595,28.5872,0.0037,5.5098,33.001,34.813656,7.4425,94.642,7.091,320.3007,708.33,1.5991274902876447,0.172,0
2019-07-10T11:33:38Z,-0.529,28.292,0.1943,15.531,31.248,32.89941,7.462,94.722,7.1,314.1042,738.92,1.5186212619996693,0.203,0
2019-07-10T11:33:38Z,-0.449,28.0246,0.3001,21.0176,30.4,31.962469,7.4855,94.902,7.086,309.9324,764.85,1.4832384198964912,0.217,0
2019-07-10T11:33:38Z,-0.374,27.8561,0.3214,21.5093,30.695,32.242409,7.5128,95.167,7.057,306.9427,781.68,1.5036542817392016,0.211,0
2019-07-10T11:33:38Z,-0.319,27.7196,0.3309,21.0832,32.267,33.872479,7.5411,95.467,7.016,304.0266,785.69,1.5896264422932092,0.185,0
2019-07-10T11:33:38Z,-0.282,27.623,0.3801,15.9317,33.64,35.298438,7.5682,95.772,6.985,299.7116,783.39,1.6645708073587202,0.148,0
2019-07-10T11:33:38Z,-0.256,27.556,0.4824,6.4804,33.923,35.585104,7.5919,96.046,6.971,296.1542,780.05,1.6817228328780591,0.111,0
2019-07-10T11:33:38Z,-0.237,27.5103,0.545,1.3232,33.723,35.371105,7.6099,96.264,6.952,294.484,776.2,1.6728191790026812,0.085,0
2019-07-10T11:33:38Z,-0.226,27.4771,0.5562,0.8987,33.485,35.122784,7.6247,96.453,6.911,293.456,776.74,1.6614762892330244,0.07,0
2019-07-10T11:33:38Z,-0.216,27.4553,0.5742,0.8899,33.48,35.121367,7.6378,96.63,6.864,290.9522,783.1,1.6619657709028226,0.062,0
2019-07-10T11:33:38Z,-0.201,27.4397,0.6061,0.8884,33.755,35.417416,7.6477,96.775,6.832,286.5807,790.2,1.676954142327546,0.056,0
2019-07-10T11:33:38Z,-0.179,27.4359,0.6211,0.881,33.612,35.275064,7.6542,96.876,6.813,283.5337,795.64,1.6695703545477745,0.05,0
2019-07-10T11:33:38Z,-0.16,27.437,0.6258,0.8663,32.669,34.288749,7.6584,96.938,6.796,281.558,798.91,1.6200299485775735,0.042,0
2019-07-10T11:33:38Z,-0.15,27.4414,0.637,0.8413,31.331,32.884774,7.659,96.944,6.774,279.0403,800.6,1.549829323636279,0.033,0
2019-07-10T11:33:38Z,-0.148,27.4568,0.6437,0.808,30.256,31.753653,7.6559,96.898,6.744,276.3233,801.24,1.493224563417205,0.022,0
2019-07-10T11:33:38Z,-0.149,27.4701,0.6375,0.7915,29.801,31.273563,7.651,96.828,6.704,274.0881,800.7,1.4691132375616387,0.011,0
2019-07-10T11:33:38Z,-0.149,27.4747,0.6226,0.8058,29.739,31.204738,7.6413,96.696,6.661,273.4381,800.75,1.4657460556280455,0.003,0
2019-07-10T11:33:38Z,-0.147,27.474,0.6369,0.8507,29.774,31.238767,7.6077,96.262,6.624,273.2831,801.42,1.4675889971104736,-0.001,0
2019-07-10T11:33:38Z,-0.146,27.4686,0.672,0.8756,29.899,31.36773,7.521,95.157,6.594,272.9886,799.38,1.4742613808680434,-0.003,0
2019-07-10T11:33:38Z,-0.148,27.4636,0.6743,0.8444,30.143,31.621819,7.3731,93.282,6.565,272.802,795.55,1.4871249805649505,-0.003,0
2019-07-10T11:33:38Z,-0.152,27.4583,0.6653,0.8009,30.409,31.899612,7.1781,90.813,6.534,272.2313,792.97,1.5011551519565498,-0.002,0
2019-07-10T11:33:38Z,-0.153,27.4522,0.6755,0.8085,30.624,32.124801,6.96,88.052,6.506,271.2515,791.58,1.512560907847634,-0.002,0
2019-07-10T11:33:38Z,-0.153,27.4485,0.6842,0.837,30.744,32.250466,6.7466,85.351,6.482,270.3333,793.49,1.5189399191188768,-0.002,0
2019-07-10T11:33:38Z,-0.151,27.4461,0.6841,0.8185,30.708,32.213322,6.5532,82.906,6.46,269.561,798.57,1.5171363793882529,-0.002,0
2019-07-10T11:33:38Z,-0.15,27.4444,0.6831,0.7823,30.619,32.119898,6.3875,80.81,6.439,268.6251,801.22,1.512544688081186,-0.001,0
2019-07-10T11:33:38Z,-0.151,27.4429,0.6797,0.7925,30.634,32.13622,6.266,79.275,6.419,268.1377,802.03,1.513374612261033,-0.001,0
2019-07-10T11:33:38Z,-0.154,27.4426,0.6792,0.8429,30.775,32.28376,6.2073,78.532,6.403,268.2274,804.87,1.5207442892048049,-0.001,0
2019-07-10T11:33:38Z,-0.156,27.4441,0.6848,0.8671,30.868,32.380794,6.2022,78.467,6.387,267.9898,806.86,1.5255527368307615,-0,0
2019-07-10T11:33:38Z,-0.155,27.4452,0.6866,0.856,30.725,32.230652,6.2179,78.664,6.371,267.1577,807.3,1.5180521115928076,0.001,0
2019-07-10T11:33:38Z,-0.153,27.4454,0.6834,0.8396,30.558,32.054853,6.2322,78.844,6.354,266.5982,808.85,1.5093302253431324,0.003,0
2019-07-10T11:33:38Z,-0.15,27.4453,0.6812,0.8336,30.657,32.158961,6.2363,78.895,6.337,266.559,811.02,1.5144996309820704,0.005,0
2019-07-10T11:33:38Z,-0.148,27.4446,0.6858,0.8478,30.957,32.474091,6.2198,78.688,6.322,266.0815,812.97,1.5301846117689382,0.005,0
2019-07-10T11:33:38Z,-0.148,27.4436,0.687,0.848,31.223,32.755611,6.1764,78.145,6.311,265.1274,815.03,1.5441136328445688,0.004,0
2019-07-10T11:33:38Z,-0.148,27.4425,0.6775,0.836,31.296,32.834062,6.1052,77.248,6.298,264.5728,816.73,1.5479643863302759,0.003,0
2019-07-10T11:33:38Z,-0.146,27.4418,0.6755,0.8661,31.19,32.724595,6.0104,76.052,6.284,264.5386,817.63,1.542446674437451,0.001,0
2019-07-10T11:33:38Z,-0.144,27.4434,0.6811,0.9179,30.985,32.510868,5.9081,74.761,6.271,264.6269,819.44,1.5316851165923744,0,0
2019-07-10T11:33:38Z,-0.144,27.4473,0.6838,0.905,30.763,32.280591,5.8199,73.649,6.258,264.7806,822.26,1.5199693899068887,-0.001,0
2019-07-10T11:33:38Z,-0.147,27.4508,0.6908,0.8406,30.588,32.097924,5.7663,72.974,6.245,265.0207,824.79,1.5107263156929795,-0.003,0
2019-07-10T11:33:38Z,-0.149,27.4532,0.6959,0.828,30.449,31.952163,5.7647,72.954,6.234,265.0351,827.46,1.5034001210841972,-0.004,0
2019-07-10T11:33:38Z,-0.149,27.4566,0.6936,0.8831,30.352,31.850808,5.819,73.64,6.224,264.7818,829.54,1.498235769340254,-0.004,0
2019-07-10T11:33:38Z,-0.15,27.4603,0.69,0.9166,30.327,31.824307,5.9105,74.799,6.215,264.4531,830.49,1.4968174245947536,-0.003,0
2019-07-10T11:33:38Z,-0.152,27.4622,0.6781,0.9056,30.325,31.822114,6.0142,76.112,6.207,264.0717,830.43,1.4966542185946101,-0.001,0
2019-07-10T11:33:38Z,-0.153,27.4623,0.6966,0.8814,30.266,31.760835,6.1132,77.366,6.197,264.1288,827.57,1.493575546529222,0.003,0
2019-07-10T11:33:38Z,-0.153,27.4618,0.7585,0.8535,30.225,31.717943000000002,6.1971,78.427,6.174,264.197,824.53,1.491454005373638,0.008,0
2019-07-10T11:33:38Z,-0.152,27.4617,0.7929,0.8631,30.252,31.74771,6.2592,79.215,6.134,263.5199,824.47,1.4928643763403522,0.013,0
2019-07-10T11:33:38Z,-0.147,27.4624,0.7924,0.8995,30.183,31.676551,6.2936,79.655,6.099,262.7386,823.6,1.4892464649939239,0.018,0
2019-07-10T11:33:38Z,-0.139,27.4621,0.7865,0.8997,29.946,31.428671,6.2984,79.717,6.081,262.2362,822.2,1.4769079098316311,0.021,0
2019-07-10T11:33:38Z,-0.13,27.4622,0.7648,0.8666,29.692,31.161921,6.2804,79.489,6.073,262.0917,822.83,1.4636790500026025,0.021,0
2019-07-10T11:33:38Z,-0.123,27.4647,0.7384,0.8593,29.528,30.989496,6.2496,79.098,6.068,262.11,823.9,1.4550683949004721,0.02,0
2019-07-10T11:33:38Z,-0.119,27.4679,0.7283,0.8766,29.412,30.866803,6.2105,78.601,6.065,261.9418,824.31,1.4489375253946417,0.017,0
2019-07-10T11:33:38Z,-0.117,27.4698,0.7292,0.8793,29.308,30.757164,6.1635,78.005,6.063,261.6926,824.17,1.4434720062294113,0.012,0
2019-07-10T11:33:38Z,-0.115,27.4689,0.7572,0.8597,29.235,30.679118,6.1148,77.388,6.062,261.5916,823.87,1.439703366545971,0.008,0
2019-07-10T11:33:38Z,-0.113,27.4672,0.8068,0.8352,29.18,30.621136,6.0768,76.905,6.06,261.8395,824.3,1.4368947763165767,0.006,0
2019-07-10T11:33:38Z,-0.113,27.4665,0.8348,0.8454,29.126,30.563732,6.0591,76.68,6.057,262.1943,825.31,1.4341086303888926,0.004,0
2019-07-10T11:33:38Z,-0.112,27.4651,0.8447,0.885,29.059,30.492668,6.0646,76.748,6.054,262.3544,825.59,1.430667906379772,0.003,0
2019-07-10T11:33:38Z,-0.111,27.4638,0.8478,0.8886,28.968,30.396437,6.0909,77.078,6.052,262.4845,824.87,1.4259774496307103,0.003,0
2019-07-10T11:33:38Z,-0.11,27.4632,0.8472,0.8561,28.927,30.351985,6.132,77.595,6.051,262.6488,823.47,1.423864852952491,0.003,0
2019-07-10T11:33:38Z,-0.11,27.4624,0.8458,0.8516,28.972,30.399363,6.1795,78.196,6.049,262.62,822.28,1.4262266853538121,0.002,0
2019-07-10T11:33:38Z,-0.109,27.4606,0.8398,0.868,28.971,30.398218,6.2247,78.766,6.047,262.6526,822.18,1.426227926816587,0.001,0
2019-07-10T11:33:38Z,-0.109,27.4586,0.8429,0.8897,28.915,30.338137,6.259,79.2,6.042,262.8704,822.3,1.4233770956286071,0.001,0
2019-07-10T11:33:38Z,-0.109,27.4572,0.8486,0.8857,28.946,30.370907,6.2784,79.446,6.031,262.93,822.56,1.4250292720204725,0.001,0
2019-07-10T11:33:38Z,-0.109,27.4563,0.8397,0.852,29.046,30.477174,6.281,79.481,6.014,262.6857,822.89,1.4302531548934037,0.001,0
2019-07-10T11:33:38Z,-0.108,27.4555,0.8387,0.8746,29.109,30.544324,6.2651,79.283,5.999,262.2397,821.82,1.4335518470696258,0,0
2019-07-10T11:33:38Z,-0.107,27.4547,0.837,0.897,29.113,30.54829,6.2365,78.92,5.99,261.7524,820.1,1.4337835537340662,-1.832e-8,0
2019-07-10T11:33:38Z,-0.107,27.4553,0.8017,0.8615,29.091,30.525126,6.2041,78.51,5.987,261.1827,819.38,1.4326219860110985,-2.015e-7,0
2019-07-10T11:33:38Z,-0.109,27.4577,0.7673,0.8385,29.083,30.518064,6.1707,78.089,5.987,260.7721,820.31,1.432134882024586,0,0
2019-07-10T11:33:38Z,-0.11,27.4594,0.7684,0.8474,29.15,30.589805,6.1324,77.608,5.988,260.8313,821.72,1.4355673999497436,0,0
2019-07-10T11:33:38Z,-0.109,27.4593,0.7808,0.8717,29.248,30.694555,6.0862,77.027,5.991,261.0386,821.53,1.4406658659261753,-0.001,0
2019-07-10T11:33:38Z,-0.109,27.4589,0.7783,0.8702,29.257,30.705887,6.033,76.36,5.994,261.0421,817.58,1.441145820381218,-0.001,0
2019-07-10T11:33:38Z,-0.109,27.4599,0.7732,0.8621,29.214,30.66338,5.9768,75.656,5.995,261.0452,811.92,1.4388799970144783,0,0
2019-07-10T11:33:38Z,-0.109,27.4622,0.7711,0.8712,29.175,30.624785,5.9213,74.956,5.995,261.3334,812.11,1.4367837241640873,-8.829e-7,0
2019-07-10T11:33:38Z,-0.11,27.465,0.7698,0.8821,29.17,30.619955,5.8662,74.26,5.996,261.5151,818.29,1.43644041105621,-0,0
2019-07-10T11:33:38Z,-0.11,27.4706,0.7743,0.8959,29.276,30.73188,5.8138,73.597,5.996,261.1784,819.96,1.4417841620139769,-0,0
2019-07-10T11:33:38Z,-0.109,27.4757,0.774,0.8736,29.436,30.899365,5.7663,72.997,5.994,260.8758,815.47,1.4499512482829096,-0.001,0
2019-07-10T11:33:38Z,-0.108,27.4778,0.775,0.875,29.526,30.995213,5.7198,72.411,5.989,261.2123,816.72,1.4545690496793486,-0.003,0
2019-07-10T11:33:38Z,-0.108,27.4788,0.7857,0.9453,29.591,31.065882,5.6713,71.8,5.984,261.5463,825.12,1.4579201300995084,-0.004,0
2019-07-10T11:33:38Z,-0.11,27.479,0.7909,0.9706,29.641,31.11928,5.6213,71.169,5.98,261.2146,832.36,1.4605153956928076,-0.007,0
2019-07-10T11:33:38Z,-0.114,27.4801,0.7862,0.9178,29.533,31.0063,5.5683,70.5,5.978,260.9011,838.5,1.4548638818854374,-0.008,0
2019-07-10T11:33:38Z,-0.117,27.4824,0.7805,0.8648,29.315,30.778555,5.5153,69.831,5.973,261.1972,846.15,1.443458954741775,-0.007,0
2019-07-10T11:33:38Z,-0.12,27.4847,0.783,0.8536,29.192,30.649972000000002,5.4664,69.213,5.959,261.6979,852.17,1.4369973365842923,-0.004,0
2019-07-10T11:33:38Z,-0.122,27.4864,0.7907,0.8814,29.199,30.65723,5.4213,68.643,5.939,261.7069,853.73,1.4373105063115568,0,0
2019-07-10T11:33:38Z,-0.121,27.4876,0.786,0.9059,29.277,30.739402,5.3782,68.099,5.923,261.3064,851.43,1.4413283720491379,0.004,0
2019-07-10T11:33:38Z,-0.117,27.4891,0.778,0.887,29.351,30.818621,5.3351,67.556,5.916,261.0707,845.58,1.4451297769399505,0.005,0
2019-07-10T11:33:38Z,-0.112,27.4902,0.7811,0.8495,29.322,30.790171,5.294,67.038,5.916,261.0947,839.6,1.443589367043827,0.005,0
2019-07-10T11:33:38Z,-0.11,27.4903,0.772,0.8458,29.247,30.712682,5.2545,66.542,5.921,261.2516,839.8,1.4396884549678048,0.004,0
2019-07-10T11:33:38Z,-0.111,27.4913,0.7458,0.8758,29.24,30.7066,5.2154,66.049,5.925,261.4195,847.55,1.4392948727962225,0.003,0
2019-07-10T11:33:38Z,-0.113,27.4936,0.7327,0.8834,29.249,30.716639,5.1774,65.57,5.929,261.5764,857.23,1.4396939998270595,0.001,0
2019-07-10T11:33:38Z,-0.114,27.4961,0.7265,0.8733,29.239,30.707161,5.1409,65.107,5.932,261.7714,862.78,1.4390998245874274,0,0
2019-07-10T11:33:38Z,-0.113,27.499,0.7139,0.8848,29.25,30.71891,5.106,64.668,5.934,261.9713,865.18,1.4395848554710162,0,0
2019-07-10T11:33:38Z,-0.111,27.5014,0.7104,0.8905,29.261,30.731798,5.0727,64.249,5.935,262.1855,867.2,1.4400847604149922,0.001,0
2019-07-10T11:33:38Z,-0.111,27.5027,0.7111,0.8766,29.264,30.73608,5.0411,63.85,5.936,262.3821,869.41,1.4402018382088602,0.002,0
2019-07-10T11:33:38Z,-0.111,27.5038,0.7049,0.8484,29.295,30.770683,5.0106,63.466,5.937,262.4559,871.96,1.4417796739361826,0.002,0
2019-07-10T11:33:38Z,-0.111,27.5053,0.7045,0.8116,29.353,30.832912,4.9806,63.09,5.938,262.5623,874.17,1.4447485739650574,0.001,0
2019-07-10T11:33:38Z,-0.111,27.5073,0.7152,0.8241,29.372,30.853958,4.9496,62.7,5.939,262.7217,876.45,1.445676024541865,0,0
2019-07-10T11:33:38Z,-0.11,27.5095,0.7215,0.8693,29.352,30.834794,4.9174,62.295,5.94,262.8335,879.04,1.4445708972108438,0,0
2019-07-10T11:33:38Z,-0.11,27.5118,0.7202,0.8658,29.37,30.855009,4.8851,61.89,5.94,262.9676,881.46,1.4454372984861208,-0.001,0
2019-07-10T11:33:38Z,-0.111,27.5141,0.7255,0.8476,29.419,30.908018,4.8518,61.47,5.94,263.0526,884.18,1.447914478644598,-0.001,0
2019-07-10T11:33:38Z,-0.112,27.5166,0.7682,0.8458,29.414,30.904644,4.8179,61.042,5.94,263.0875,887.24,1.4475797160170552,-0.001,0
2019-07-10T11:33:38Z,-0.112,27.5194,0.8291,0.844,29.386,30.877675,4.7855,60.635,5.94,263.1313,889.14,1.4460410123405454,-0.001,0
2019-07-10T11:33:38Z,-0.112,27.5223,0.8466,0.8582,29.406,30.89921,4.7559,60.264,5.939,263.2385,888.86,1.4469931570643835,0,0
2019-07-10T11:33:38Z,-0.112,27.5249,0.8313,0.8533,29.416,30.911201,4.7283,59.916,5.936,263.4368,888.63,1.4474347442924524,0,0
2019-07-10T11:33:38Z,-0.111,27.5274,0.7923,0.8184,29.4,30.89576,4.7014,59.577,5.933,263.636,890.3,1.4465286355652023,0.001,0
2019-07-10T11:33:38Z,-0.11,27.5305,0.7387,0.83,29.405,30.902872,4.6751,59.247,5.931,263.841,892.88,1.4466954455970469,0.001,0
2019-07-10T11:33:38Z,-0.11,27.5331,0.7202,0.862,29.433,30.933737,4.6506,58.94,5.931,264.1084,895.45,1.4480719290554216,0,0
2019-07-10T11:33:38Z,-0.11,27.5354,0.7254,0.8449,29.449,30.951677,4.6274,58.647,5.932,264.3744,896.89,1.4488340325127442,-0.001,0
2019-07-10T11:33:38Z,-0.11,27.5378,0.7661,0.8204,29.426,30.929435,4.6048,58.364,5.933,264.475,897.04,1.4475674069583488,-0.001,0
2019-07-10T11:33:38Z,-0.111,27.5403,0.8575,0.827,29.415,30.918623,4.5837,58.098,5.933,264.3784,896.89,1.4469211923743497,-0.002,0
2019-07-10T11:33:38Z,-0.112,27.5428,0.9117,0.8594,29.442,30.947858,4.563,57.837,5.931,264.2389,896.45,1.448248489740178,-0.002,0
2019-07-10T11:33:38Z,-0.113,27.5448,0.91,0.8842,29.457,30.96565,4.5417,57.569,5.928,264.165,896.13,1.4489675250887162,-0.003,0
2019-07-10T11:33:38Z,-0.113,27.5471,0.8974,0.8648,29.434,30.94339,4.5212,57.312,5.924,264.0009,896.43,1.4477041124506365,-0.003,0
2019-07-10T11:33:38Z,-0.114,27.5494,0.8543,0.8548,29.363,30.869065,4.5027,57.08,5.916,263.8036,896.15,1.4439486930412673,-0.003,0
2019-07-10T11:33:38Z,-0.115,27.5517,0.7969,0.8947,29.323,30.828448,4.4853,56.862,5.905,264.0171,895.34,1.4418034484796343,-0.002,0
2019-07-10T11:33:38Z,-0.116,27.5539,0.7752,0.9202,29.387,30.896464,4.4686,56.652,5.892,264.6034,896.79,1.445060143597402,-0,0
2019-07-10T11:33:38Z,-0.116,27.5559,0.7745,0.9017,29.478,30.993456,4.4529,56.454,5.88,264.9558,898.77,1.4497249651560624,-7.648e-8,0
2019-07-10T11:33:38Z,-0.115,27.5578,0.7713,0.8676,29.531,31.049368,4.4385,56.274,5.874,264.8363,899.5,1.452420027697697,-8.412e-7,0
2019-07-10T11:33:38Z,-0.114,27.5599,0.7705,0.8684,29.545,31.064861,4.425,56.104,5.873,264.7076,901.21,1.4530838312570613,-0,0
2019-07-10T11:33:38Z,-0.113,27.562,0.774,0.9113,29.533,31.053871,4.4099,55.914,5.873,264.8617,903.25,1.4523975284458832,-0,0
2019-07-10T11:33:38Z,-0.114,27.5632,0.778,0.9271,29.522,31.043395,4.3937,55.711,5.873,265.2368,904.21,1.4517903165954853,-0.001,0
2019-07-10T11:33:38Z,-0.116,27.5643,0.7763,0.896,29.541,31.065108,4.379,55.526,5.873,265.9734,904.41,1.4527438113832802,-0.001,0
2019-07-10T11:33:38Z,-0.117,27.5659,0.7705,0.8627,29.538,31.062591,4.3645,55.345,5.873,266.8846,905.22,1.4525399389263376,-0.001,0
2019-07-10T11:33:38Z,-0.117,27.5677,0.7681,0.8532,29.49,31.012971,4.3495,55.156,5.871,267.2193,906.98,1.4499938102572871,-0.001,0
2019-07-10T11:33:38Z,-0.116,27.5704,0.7736,0.879,29.45,30.972781,4.335,54.975,5.868,266.9235,908.41,1.4478364225691849,-0,0
2019-07-10T11:33:38Z,-0.116,27.5727,0.7938,0.9122,29.435,30.957383,4.3207,54.795,5.866,266.5782,909.19,1.446988957003507,0.001,0
2019-07-10T11:33:38Z,-0.116,27.5745,0.8215,0.8941,29.43,30.953699,4.3073,54.627,5.862,266.2281,910.66,1.4466755627266683,0.001,0
2019-07-10T11:33:38Z,-0.116,27.5766,0.8406,0.8566,29.405,30.928246,4.2967,54.494,5.858,265.7869,913.7,1.4453152924895403,0.001,0
2019-07-10T11:33:38Z,-0.115,27.5786,0.8506,0.8525,29.381,30.903443,4.2873,54.377,5.855,265.6321,917.33,1.4440100959526363,0.001,0
2019-07-10T11:33:38Z,-0.115,27.5804,0.8643,0.8442,29.384,30.907636,4.2777,54.256,5.852,265.9051,920.51,1.44411194623312,0.002,0
2019-07-10T11:33:38Z,-0.115,27.5822,0.8855,0.8222,29.39,30.915493,4.2685,54.14,5.849,266.248,922.52,1.4443694725489828,0.003,0
