"","SampleID","metric","value","SE","WaterColumn","Hour","Taxa","DateTime"
"1","F01Jul22_midn","ZoopDensity_No.pL_rep.mean_epi",942.22125239973,5.8065469414785,"epilimnion","midnight","ZoopDensi",2022-07-01
"2","F01Jul22_noon","ZoopDensity_No.pL_rep.mean_epi",1142.08636654513,64.9306138989945,"epilimnion","noon","ZoopDensi",2022-07-01
"3","F10Jun21_midn","ZoopDensity_No.pL_rep.mean_epi",207.132936477958,NA,"epilimnion","midnight","ZoopDensi",2021-06-10
"4","F10Jun21_noon","ZoopDensity_No.pL_rep.mean_epi",354.843578070766,5.23217546757699,"epilimnion","noon","ZoopDensi",2021-06-10
"5","F10Sep20_midn","ZoopDensity_No.pL_rep.mean_epi",811.33815479366,NA,"epilimnion","midnight","ZoopDensi",2020-09-10
"6","F11Sep20_noon","ZoopDensity_No.pL_rep.mean_epi",358.822771161815,NA,"epilimnion","noon","ZoopDensi",2020-09-11
"7","F14Sep20_midn","ZoopDensity_No.pL_rep.mean_epi",673.407961311055,NA,"epilimnion","midnight","ZoopDensi",2020-09-14
"8","F15Sep20_noon","ZoopDensity_No.pL_rep.mean_epi",1065.94727544212,NA,"epilimnion","noon","ZoopDensi",2020-09-15
"9","F28Jun20_midn","ZoopDensity_No.pL_rep.mean_epi",118.074159741281,NA,"epilimnion","midnight","ZoopDensi",2020-06-28
"10","F29Jun20_noon","ZoopDensity_No.pL_rep.mean_epi",63.2540141471149,NA,"epilimnion","noon","ZoopDensi",2020-06-29
"11","F01Jul22_midn","ZoopDensity_No.pL_rep.mean_hypo",10.6729888670644,NA,"hypolimnion","midnight","ZoopDensi",2022-07-01
"12","F01Jul22_noon","ZoopDensity_No.pL_rep.mean_hypo",24.8304847723776,NA,"hypolimnion","noon","ZoopDensi",2022-07-01
"13","F10Jun21_midn","ZoopDensity_No.pL_rep.mean_hypo",5.44032331436066,NA,"hypolimnion","midnight","ZoopDensi",2021-06-10
"14","F10Jun21_noon","ZoopDensity_No.pL_rep.mean_hypo",6.22562941968068,NA,"hypolimnion","noon","ZoopDensi",2021-06-10
"15","F10Sep20_midn","ZoopDensity_No.pL_rep.mean_hypo",5.10072718484384,NA,"hypolimnion","midnight","ZoopDensi",2020-09-10
"16","F11Sep20_noon","ZoopDensity_No.pL_rep.mean_hypo",5.65117848696713,NA,"hypolimnion","noon","ZoopDensi",2020-09-11
"17","F14Sep20_midn","ZoopDensity_No.pL_rep.mean_hypo",10.1727779282148,NA,"hypolimnion","midnight","ZoopDensi",2020-09-14
"18","F15Sep20_noon","ZoopDensity_No.pL_rep.mean_hypo",7.39293020571136,NA,"hypolimnion","noon","ZoopDensi",2020-09-15
"19","F28Jun20_midn","ZoopDensity_No.pL_rep.mean_hypo",12.8406680390473,NA,"hypolimnion","midnight","ZoopDensi",2020-06-28
"20","F29Jun20_noon","ZoopDensity_No.pL_rep.mean_hypo",9.98400502605505,NA,"hypolimnion","noon","ZoopDensi",2020-06-29
"21","F01Jul22_midn","Cladocera_density_NopL_rep.mean_epi",215.092932366,0.449220340731649,"epilimnion","midnight","Cladocera",2022-07-01
"22","F01Jul22_noon","Cladocera_density_NopL_rep.mean_epi",110.055595321621,3.4667211587064,"epilimnion","noon","Cladocera",2022-07-01
"23","F10Jun21_midn","Cladocera_density_NopL_rep.mean_epi",66.9677914928735,NA,"epilimnion","midnight","Cladocera",2021-06-10
"24","F10Jun21_noon","Cladocera_density_NopL_rep.mean_epi",41.433830972335,11.1097766201788,"epilimnion","noon","Cladocera",2021-06-10
"25","F10Sep20_midn","Cladocera_density_NopL_rep.mean_epi",449.525193872163,NA,"epilimnion","midnight","Cladocera",2020-09-10
"26","F11Sep20_noon","Cladocera_density_NopL_rep.mean_epi",166.952261582234,NA,"epilimnion","noon","Cladocera",2020-09-11
"27","F14Sep20_midn","Cladocera_density_NopL_rep.mean_epi",115.054626555658,NA,"epilimnion","midnight","Cladocera",2020-09-14
"28","F15Sep20_noon","Cladocera_density_NopL_rep.mean_epi",152.278182206017,NA,"epilimnion","noon","Cladocera",2020-09-15
"29","F28Jun20_midn","Cladocera_density_NopL_rep.mean_epi",45.332043472099,NA,"epilimnion","midnight","Cladocera",2020-06-28
"30","F29Jun20_noon","Cladocera_density_NopL_rep.mean_epi",3.16270070735574,NA,"epilimnion","noon","Cladocera",2020-06-29
"31","F01Jul22_midn","Cladocera_density_NopL_rep.mean_hypo",2.07527730452721,8.07774721070176,"hypolimnion","midnight","Cladocera",2022-07-01
"32","F01Jul22_noon","Cladocera_density_NopL_rep.mean_hypo",2.08463859212582,3.80788655293195,"hypolimnion","noon","Cladocera",2022-07-01
"33","F10Jun21_midn","Cladocera_density_NopL_rep.mean_hypo",1.27142218614293,NA,"hypolimnion","midnight","Cladocera",2021-06-10
"34","F10Jun21_noon","Cladocera_density_NopL_rep.mean_hypo",0.680922818685775,7.43303437365925,"hypolimnion","noon","Cladocera",2021-06-10
"35","F10Sep20_midn","Cladocera_density_NopL_rep.mean_hypo",2.61572857981344,NA,"hypolimnion","midnight","Cladocera",2020-09-10
"36","F11Sep20_noon","Cladocera_density_NopL_rep.mean_hypo",2.22336236590674,NA,"hypolimnion","noon","Cladocera",2020-09-11
"37","F14Sep20_midn","Cladocera_density_NopL_rep.mean_hypo",2.0568115111776,NA,"hypolimnion","midnight","Cladocera",2020-09-14
"38","F15Sep20_noon","Cladocera_density_NopL_rep.mean_hypo",1.83442787015033,NA,"hypolimnion","noon","Cladocera",2020-09-15
"39","F28Jun20_midn","Cladocera_density_NopL_rep.mean_hypo",1.68584539427711,NA,"hypolimnion","midnight","Cladocera",2020-06-28
"40","F29Jun20_noon","Cladocera_density_NopL_rep.mean_hypo",0.447699978081063,NA,"hypolimnion","noon","Cladocera",2020-06-29
"41","F01Jul22_midn","Cyclopoida_density_NopL_rep.mean_epi",70.428659270283,13.0000223079148,"epilimnion","midnight","Cyclopoid",2022-07-01
"42","F01Jul22_noon","Cyclopoida_density_NopL_rep.mean_epi",66.4486613262621,5.76311229901565,"epilimnion","noon","Cyclopoid",2022-07-01
"43","F10Jun21_midn","Cyclopoida_density_NopL_rep.mean_epi",17.131295498177,NA,"epilimnion","midnight","Cyclopoid",2021-06-10
"44","F10Jun21_noon","Cyclopoida_density_NopL_rep.mean_epi",25.4977421368215,3.81276187904415,"epilimnion","noon","Cyclopoid",2021-06-10
"45","F10Sep20_midn","Cyclopoida_density_NopL_rep.mean_epi",179.079142274276,NA,"epilimnion","midnight","Cyclopoid",2020-09-10
"46","F11Sep20_noon","Cyclopoida_density_NopL_rep.mean_epi",49.8364959946966,NA,"epilimnion","noon","Cyclopoid",2020-09-11
"47","F14Sep20_midn","Cyclopoida_density_NopL_rep.mean_epi",98.1348285327667,NA,"epilimnion","midnight","Cyclopoid",2020-09-14
"48","F15Sep20_noon","Cyclopoida_density_NopL_rep.mean_epi",262.67986430538,NA,"epilimnion","noon","Cyclopoid",2020-09-15
"49","F28Jun20_midn","Cyclopoida_density_NopL_rep.mean_epi",26.3558392279645,NA,"epilimnion","midnight","Cyclopoid",2020-06-28
"50","F29Jun20_noon","Cyclopoida_density_NopL_rep.mean_epi",19.5033210286938,NA,"epilimnion","noon","Cyclopoid",2020-06-29
"51","F01Jul22_midn","Cyclopoida_density_NopL_rep.mean_hypo",0.852360691944986,4.30116263352131,"hypolimnion","midnight","Cyclopoid",2022-07-01
"52","F01Jul22_noon","Cyclopoida_density_NopL_rep.mean_hypo",2.130997417767,5.3851648071345,"hypolimnion","noon","Cyclopoid",2022-07-01
"53","F10Jun21_midn","Cyclopoida_density_NopL_rep.mean_hypo",0.625350066011354,NA,"hypolimnion","midnight","Cyclopoid",2021-06-10
"54","F10Jun21_noon","Cyclopoida_density_NopL_rep.mean_hypo",0.405309483262045,2.69258240356725,"hypolimnion","noon","Cyclopoid",2021-06-10
"55","F10Sep20_midn","Cyclopoida_density_NopL_rep.mean_hypo",1.37330676346557,NA,"hypolimnion","midnight","Cyclopoid",2020-09-10
"56","F11Sep20_noon","Cyclopoida_density_NopL_rep.mean_hypo",1.20440336899041,NA,"hypolimnion","noon","Cyclopoid",2020-09-11
"57","F14Sep20_midn","Cyclopoida_density_NopL_rep.mean_hypo",1.22294034424698,NA,"hypolimnion","midnight","Cyclopoid",2020-09-14
"58","F15Sep20_noon","Cyclopoida_density_NopL_rep.mean_hypo",1.72315254384132,NA,"hypolimnion","noon","Cyclopoid",2020-09-15
"59","F28Jun20_midn","Cyclopoida_density_NopL_rep.mean_hypo",3.37234391919509,NA,"hypolimnion","midnight","Cyclopoid",2020-06-28
"60","F29Jun20_noon","Cyclopoida_density_NopL_rep.mean_hypo",1.4770416048143,NA,"hypolimnion","noon","Cyclopoid",2020-06-29
"61","F01Jul22_midn","Rotifera_density_NopL_rep.mean_epi",523.456251333184,9.3836968318287,"epilimnion","midnight","Rotifera_",2022-07-01
"62","F01Jul22_noon","Rotifera_density_NopL_rep.mean_epi",780.771770583582,65.6018034382933,"epilimnion","noon","Rotifera_",2022-07-01
"63","F10Jun21_midn","Rotifera_density_NopL_rep.mean_epi",73.1973534922106,NA,"epilimnion","midnight","Rotifera_",2021-06-10
"64","F10Jun21_noon","Rotifera_density_NopL_rep.mean_epi",193.357877870897,0.59439282938178,"epilimnion","noon","Rotifera_",2021-06-10
"65","F10Sep20_midn","Rotifera_density_NopL_rep.mean_epi",43.856116475333,NA,"epilimnion","midnight","Rotifera_",2020-09-10
"66","F11Sep20_noon","Rotifera_density_NopL_rep.mean_epi",42.3610215954921,NA,"epilimnion","noon","Rotifera_",2020-09-11
"67","F14Sep20_midn","Rotifera_density_NopL_rep.mean_epi",348.547839271551,NA,"epilimnion","midnight","Rotifera_",2020-09-14
"68","F15Sep20_noon","Rotifera_density_NopL_rep.mean_epi",380.695455515043,NA,"epilimnion","noon","Rotifera_",2020-09-15
"69","F28Jun20_midn","Rotifera_density_NopL_rep.mean_epi",28.4643063662017,NA,"epilimnion","midnight","Rotifera_",2020-06-28
"70","F29Jun20_noon","Rotifera_density_NopL_rep.mean_epi",29.5185399353203,NA,"epilimnion","noon","Rotifera_",2020-06-29
"71","F01Jul22_midn","Rotifera_density_NopL_rep.mean_hypo",5.48469826884015,34.6013005535919,"hypolimnion","midnight","Rotifera_",2022-07-01
"72","F01Jul22_noon","Rotifera_density_NopL_rep.mean_hypo",18.0206666814735,68.9002902751505,"hypolimnion","noon","Rotifera_",2022-07-01
"73","F10Jun21_midn","Rotifera_density_NopL_rep.mean_hypo",2.37629926554346,NA,"hypolimnion","midnight","Rotifera_",2021-06-10
"74","F10Jun21_noon","Rotifera_density_NopL_rep.mean_hypo",3.72893210059788,49.0917508345343,"hypolimnion","noon","Rotifera_",2021-06-10
"75","F10Sep20_midn","Rotifera_density_NopL_rep.mean_hypo",0.130767927191534,NA,"hypolimnion","midnight","Rotifera_",2020-09-10
"76","F11Sep20_noon","Rotifera_density_NopL_rep.mean_hypo",0.74114766125597,NA,"hypolimnion","noon","Rotifera_",2020-09-11
"77","F14Sep20_midn","Rotifera_density_NopL_rep.mean_hypo",5.22535879031874,NA,"hypolimnion","midnight","Rotifera_",2020-09-14
"78","F15Sep20_noon","Rotifera_density_NopL_rep.mean_hypo",1.83424098329035,NA,"hypolimnion","noon","Rotifera_",2020-09-15
"79","F28Jun20_midn","Rotifera_density_NopL_rep.mean_hypo",4.66948081110927,NA,"hypolimnion","midnight","Rotifera_",2020-06-28
"80","F29Jun20_noon","Rotifera_density_NopL_rep.mean_hypo",6.13405074963813,NA,"hypolimnion","noon","Rotifera_",2020-06-29
