"sample_ID","collect_date","Hour","depth","Gastropidae_density_NopL_rep.mean","Bosmina_BiomassConcentration_ugpL_rep.mean","Daphnia_BiomassConcentration_ugpL_rep.mean","Ceriodaphnia_BiomassConcentration_ugpL_rep.mean","Cyclopoida_BiomassConcentration_ugpL_rep.mean","Keratella_BiomassConcentration_ugpL_rep.mean","Kellicottia_BiomassConcentration_ugpL_rep.mean","Ploima_BiomassConcentration_ugpL_rep.mean","Gastropidae_BiomassConcentration_ugpL_rep.mean","Collothecidae_BiomassConcentration_ugpL_rep.mean","Conochilidae_BiomassConcentration_ugpL_rep.mean","Synchaetidae_BiomassConcentration_ugpL_rep.mean","Trichocercidae_BiomassConcentration_ugpL_rep.mean","Lepadella_BiomassConcentration_ugpL_rep.mean","Monostyla_BiomassConcentration_ugpL_rep.mean","Lecane_BiomassConcentration_ugpL_rep.mean","Calanoida_BiomassConcentration_ugpL_rep.mean","nauplius_BiomassConcentration_ugpL_rep.mean"
"F_pel_01Jul22_midnight_schind_0.1","2022-06-30",0,"0.1",0,0.103530416821089,0,0,0.328973915009632,0,0,0.0868268843854789,0,0,0.33639267673086,0,0.0868268843854789,0,0,0,0.0216883568255274,0.237805394497501
"F_pel_01Jul22_midnight_schind_1.0","2022-06-30",0,"1.0",0,0.220339673139533,0,0,0.514085966992721,0,5.8317538999854e-05,0.00031705302036254,0,0,0.45844532804352,0,0,0,0,0.000258735481362686,0.0180243919425861,0.372079934038194
"F_pel_01Jul22_midnight_schind_2.0","2022-06-30",0,"2.0",0,0.550051983094244,0,0.0279850905144618,0.43133135825078,0.0038818486659863,0.000116635077999708,0.0200527579336152,0,0,0.486912354170419,0.0157437916119939,0,0,0.000310482577635224,0,0.0449794129381995,0.972058925564175
"F_pel_01Jul22_midnight_schind_3.0","2022-06-30",0,"3.0",0,0.295311764888631,0.0624283660653475,0.0625873662288639,0.694490385298879,0.00186289546581134,0.000466540311998834,0.00812511056033434,0,0.009601399620936,0.0578550809155853,0.0057956747825242,0,0,0,0,0.0926814185425104,1.41594711931259
"F_pel_01Jul22_midnight_schind_4.0","2022-06-30",0,"4.0",0,0.398855572884398,0,0.167712176786623,0.466561747301887,0.0026399183554454,0.000641492928998396,0.118037539342898,0,0,0.2380612701113,0.0244558098848229,0.0830696019827964,0,0,0,0.0886506283302397,0.610522121811457
"F_pel_01Jul22_midnight_schind_5.0","2022-06-30",0,"5.0",0.0166666666666666,0.23114603284432,0,0.0395752415499839,0.412198854396627,0.00231534626038781,0.000174952616999562,0.075983562229674,0.000517470962725375,0,0.0989371568432542,0.00745197064683871,0.0632359624823833,0,0,0,0.0138439950990602,0.5500777082642
"F_pel_01Jul22_midnight_schind_6.0","2022-06-30",0,"6.0",0,0.244637297633667,0,0.0287580839088756,0.458374158077803,0.0015202216066482,0.000116635077999708,0.0950957560105251,0,0,0.17205607384842,0.00373333333333334,0.0830696019827964,0,0,0,0.0399423510496305,0.578274232747858
"F_pel_01Jul22_midnight_schind_7.0","2022-06-30",0,"7.0",0,0.208623684669323,0.075235472015341,0.0287580839088756,0.379815684801462,0.00308383146231229,0.00013593818340866,0.070592778344754,0,0.125745443942266,0.183627712062551,0.00649074209068378,0.0604157262963505,0,0.000233270155999417,0,0,0.580205963663281
"F_pel_01Jul22_midnight_schind_8.0","2022-06-30",0,"8.0",0,0.173102234068076,0,0.073087717806837,0.544289994486237,0.00419233124362152,0.000116635077999708,0.130718219371143,0,0,0.162739425748961,0,0.126409253049521,0,0,0,0.0645872662476768,0.469916598965991
"F_pel_01Jul22_midnight_schind_9.0","2022-06-30",0,"9.0",0.0166666666666666,0.37402879938138,0,0.157995867370918,0.699269224589464,0.00229281236331827,0.000233270155999417,0.212134558001652,0.0008541575545512,0,0.319837888349683,0.00877406813432473,0.199810195849735,0,0.000170053943723575,0,0.00499948804578907,0.795132670233924
