"sample_ID","collect_date","Hour","depth","campaign_num","Bosminidae_density_NopL_rep.mean","Daphnia_density_NopL_rep.mean","Ceriodaphnia_density_NopL_rep.mean","Cyclopoida_density_NopL_rep.mean","Rotifera_density_NopL_rep.mean","Calanoida_density_NopL_rep.mean","nauplius_density_NopL_rep.mean"
"F_pel_01Jul22_midnight_schind_0.1","2022-06-30",0,"0.1",4,0.383333333333334,0,0,0.55,2.73333333333334,0.0166666666666666,0.266666666666666
"F_pel_01Jul22_midnight_schind_1.0","2022-06-30",0,"1.0",4,0.65,0,0,0.633333333333333,3.33333333333333,0.0166666666666666,0.416666666666667
"F_pel_01Jul22_midnight_schind_2.0","2022-06-30",0,"2.0",4,2.11666666666666,0,0.0666666666666667,0.616666666666666,6.65000000000001,0.0666666666666667,1.06666666666667
"F_pel_01Jul22_midnight_schind_3.0","2022-06-30",0,"3.0",4,1.1,0.0166666666666666,0.0666666666666667,1.21666666666667,0.733333333333334,0.0666666666666667,1.63333333333334
"F_pel_01Jul22_midnight_schind_4.0","2022-06-30",0,"4.0",4,1.38333333333334,0,0.1,0.65,1.9,0.15,0.683333333333334
"F_pel_01Jul22_midnight_schind_5.0","2022-06-30",0,"5.0",4,0.9,0,0.05,0.783333333333333,0.899999999999999,0.0333333333333333,0.616666666666667
"F_pel_01Jul22_midnight_schind_6.0","2022-06-30",0,"6.0",4,1.03333333333333,0,0.0166666666666666,0.65,1.53333333333333,0.05,0.65
"F_pel_01Jul22_midnight_schind_7.0","2022-06-30",0,"7.0",4,0.766666666666666,0.0166666666666666,0.0166666666666666,0.733333333333333,1.48333333333334,0,0.666666666666667
"F_pel_01Jul22_midnight_schind_8.0","2022-06-30",0,"8.0",4,0.65,0,0.0333333333333333,0.75,1.95,0.0666666666666667,0.516666666666666
"F_pel_01Jul22_midnight_schind_9.0","2022-06-30",0,"9.0",4,1.35,0,0.0666666666666667,0.966666666666668,3.3,0.0166666666666666,0.916666666666667
"F_pel_01Jul22_noon_schind_0.1","2022-07-01",12,"0.1",4,0.466666666666667,0,0,1.08333333333333,5.63333333333333,0.0333333333333333,0.533333333333333
"F_pel_01Jul22_noon_schind_1.0","2022-07-01",12,"1.0",4,0.783333333333332,0,0,0.933333333333334,5.08333333333333,0.1,0.8
"F_pel_01Jul22_noon_schind_2.0","2022-07-01",12,"2.0",4,2.33333333333333,0,0.0333333333333333,0.583333333333333,4.66666666666667,0.15,1.13333333333334
"F_pel_01Jul22_noon_schind_3.0","2022-07-01",12,"3.0",4,0.983333333333332,0,0.05,1.35,3.21666666666667,0.05,1.71666666666667
