"Group","n","mean","sd","df","χ2","p.value"
"Littoral",55,0.44,0.14,"1","22.051","2.65522553240876e-06"
"Pelagic",55,0.32,0.12," "," "," "
"10-11 Jul 2019",22,0.34,0.07," "," "," "
"24-25 Jul 2019",22,0.34,0.11," "," "," "
"12-13 Aug 2020",22,0.42,0.06,"4","17.299","0.00169080327256625"
"15-16 Jun 2021",22,0.33,0.12," "," "," "
"7-8 Jul 2021",22,0.34,0.13," "," "," "
"12pm",10,0.37,0.16," "," "," "
"6pm",10,0.37,0.15," "," "," "
"7pm",10,0.35,0.11," "," "," "
"8pm",10,0.37,0.12," "," "," "
"9pm",10,0.41,0.12," "," "," "
"12am",10,0.41,0.14,"10","9.61","0.475328880175084"
"4am",10,0.43,0.16," "," "," "
"5am",10,0.4,0.15," "," "," "
"6am",10,0.39,0.1," "," "," "
"7am",10,0.41,0.12," "," "," "
"12pm",10,0.29,0.09," "," "," "
