Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Species
Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,NA,Cyclopidae,NA,Acanthocyclops,robustus
Arthropoda,Crustacea,Branchiopoda,NA,Cladocera,NA,Macrothricidae,NA,Acantholeberis,curvirostris
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Chydoridae,NA,Acroperus,harpae
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Diaptomidae,NA,Aglaodiaptomus,clavipes
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Diaptomidae,NA,Aglaodiaptomus,leptopus
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Diaptomidae,NA,Aglaodiaptomus,spatulocrenatus
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Chydoridae,NA,Alona,bicolor
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Chydoridae,NA,Alona,rustica
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Chydoridae,NA,Alona,setulosa
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Chydoridae,NA,Alonella,exigua
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Chydoridae,NA,Alonella,excisa
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Chydoridae,NA,Alonopsis,americana
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Diaptomidae,NA,Arctodiaptomus,dorsalis
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Diaptomidae,NA,Arctodiaptomus,floridanus
Arthropoda,Crustacea,Maxillopoda,Branchiura,Branchiura,NA,Branchiura,NA,Argulus,NA
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Bosminidae,NA,Bosmina,longirostris
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Bosminidae,NA,Bosminopsis,deitersi
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Cercopagididae,NA,Bythotrephes,cedarstroemii
