Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Species,ln a (intercept),b,size range min,size range max,Instar,Notes,UseThisColumnMaybe
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Daphniidae,,Daphnia,parvula,1.44,1.8,0.44,1.22,,not preserved,Yes
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Daphniidae,,Daphnia,parvula,1.08,2.16,0.44,1.22,,,Yes
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Daphniidae,,Daphnia,parvula,1.6026,3.632,0.4,1.5,,different ref,Yes
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Daphniidae,,Daphnia,retrocurva,1.4322,3.129,0.5,2,,,
Arthropoda,Crustacea,Branchiopoda,,Cladocera,,Daphniidae,,Daphnia,longispina,1.0727,2.8915,0.6,2.35,,only in eurasia??,
Arthropoda,Crustacea,Branchiopoda,,Cladocera,,Daphniidae,,Daphnia,longispina,1.34,2.57,,,,,
Arthropoda,Crustacea,Branchiopoda,,Cladocera,,Daphniidae,,Daphnia,longispina,1.37,2.5567,,,,,
Arthropoda,Crustacea,Branchiopoda,,Cladocera,,Daphniidae,,Daphnia,galeata,1.51,2.56,,,,subspecies is D. mendotae,Yes
Arthropoda,Crustacea,Branchiopoda,,Cladocera,,Daphniidae,,Daphnia,galeata,2.64,2.54,0.6,2.2,,different ref,Yes
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Daphniidae,,Daphnia,hyalina,2.46,2.52,0.6,2.2,,?- use leydig 1860 for ref if necessary,
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Daphniidae,,Daphnia,hyalina,1.4369,2.768,0.78,2.21,,,
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Daphniidae,,Daphnia,ambigua,1.54,2.29,,,,,
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Daphniidae,,Daphnia,pulex,1.9445,2.72,,,,different refs for all except 3 and 5,
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Daphniidae,,Daphnia,pulex,1.4663,3.1932,0.95,3.4,,,
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Daphniidae,,Daphnia,pulex,1.59,2.77,,,,,
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Daphniidae,,Daphnia,pulex,2.48,2.63,0.55,1.6,,,
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Daphniidae,,Daphnia,pulex,-0.71,3.13,,,Ephippial,,
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Daphniidae,,Daphnia,pulex,3.1246,0.526,0.3,0.4,,,
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Daphniidae,,Daphnia,schodleri,2.3,3.1,1,2.5,,,
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Daphniidae,,Daphnia,magna,1.6729,2.688,0.82,4,,"same refs for 1 and 2, 4-6",Yes
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Daphniidae,,Daphnia,magna,1.8268,2.7854,0.84,4.83,,,Yes
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Daphniidae,,Daphnia,magna,2.2,2.63,,,,,Yes
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Daphniidae,,Daphnia,magna,2.51,1.8,1.4,3.6,,,Yes
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Daphniidae,,Daphnia,magna,2.36,2.25,,,,,Yes
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Daphniidae,,Daphnia,magna,2.12,2.61,,,Ephippial,,Yes
Arthropoda,Crustacea,Branchiopoda,,,,Daphniidae,,Ceriodaphnia,quadrangula,2.5623,3.338,0.3,0.71,,?- use Muller 1785 for ref,
