Project,site_no,collect_date,Hour,sample_ID,Subsample,LowestTaxonomicLevelOfID,TaxaID,Nauplius,ObjectiveMagnification,MarksInOcularMicrometer_No.,MarksInOcularMicrometer_Width_No.,MarksInOcularMicrometer_Height_No.,Initials,Notes
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Genus,Conochiloides,,75x,1.3,0.5,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Order,Calanoida,nauplius,75x,2.2,,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Genus,Trichocerca,,75x,3.4,0.7,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Family,Cyclopidae,,75x,2.2,,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Order,Cyclopoida,nauplius,75x,1.6,,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Order,Cyclopoida,nauplius,75x,1.2,,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Genus,Trichocerca,,75x,3.1,0.7,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Genus,Conochiloides,,75x,1.4,0.9,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Family,Cyclopidae,,75x,2.9,,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Family,Cyclopidae,,75x,2.9,,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Order,Cyclopoida,nauplius,75x,1.2,,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Order,Calanoida,nauplius,75x,1.6,,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Family,Cyclopidae,,75x,2.2,,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Order,Cyclopoida,nauplius,75x,1.5,,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Genus,Polyarthra,,75x,1,0.7,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Order,Cyclopoida,nauplius,75x,1.3,,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Family,Cyclopidae,,75x,2.6,,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Genus,Hexarthra,,75x,1.3,0.7,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Family,Cyclopidae,,75x,2.4,,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Genus,Trichocerca,,75x,3,0.8,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Genus,Ceriodaphnia,,75x,2.7,,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Family,Cyclopidae,,75x,4.1,,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Family,Cyclopidae,,75x,2.2,,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Genus,Hexarthra,,75x,1.5,0.8,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Genus,Trichocerca,,75x,3.1,0.6,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Order,Cyclopoida,nauplius,75x,1.4,,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Order,Calanoida,nauplius,75x,1.5,,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Genus,Conochiloides,,75x,1.4,0.9,,HLW,
BVR_2022,BVR_50,11-Jul-22,11:56,B11Jul22_8.4m,A,Genus,Trichocerca,,75x,1.8,0.6,,HLW,
