"Reservoir","Site","DateTime","StartDepth_m","EndDepth_m","Rep","CollectionMethod","Subsample","LowestTaxonomicLevelOfID","TaxaID","Nauplius","ObjectiveMagnification","OcularMagnification","MarksInOcularMicrometer_No."
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Genus","Conochiloides","","75x","10x",1.3
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Order","Calanoida","nauplius","75x","10x",2.2
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Genus","Trichocerca","","75x","10x",3.4
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Family","Cyclopidae","","75x","10x",2.2
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Order","Cyclopoida","nauplius","75x","10x",1.6
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Order","Cyclopoida","nauplius","75x","10x",1.2
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Genus","Trichocerca","","75x","10x",3.1
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Genus","Conochiloides","","75x","10x",1.4
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Family","Cyclopidae","","75x","10x",2.9
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Family","Cyclopidae","","75x","10x",2.9
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Order","Cyclopoida","nauplius","75x","10x",1.2
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Order","Calanoida","nauplius","75x","10x",1.6
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Family","Cyclopidae","","75x","10x",2.2
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Order","Cyclopoida","nauplius","75x","10x",1.5
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Genus","Polyarthra","","75x","10x",1
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Order","Cyclopoida","nauplius","75x","10x",1.3
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Family","Cyclopidae","","75x","10x",2.6
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Genus","Hexarthra","","75x","10x",1.3
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Family","Cyclopidae","","75x","10x",2.4
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Genus","Trichocerca","","75x","10x",3
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Genus","Ceriodaphnia","","75x","10x",2.7
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Family","Cyclopidae","","75x","10x",4.1
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Family","Cyclopidae","","75x","10x",2.2
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Genus","Hexarthra","","75x","10x",1.5
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Genus","Trichocerca","","75x","10x",3.1
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Order","Cyclopoida","nauplius","75x","10x",1.4
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Order","Calanoida","nauplius","75x","10x",1.5
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Genus","Conochiloides","","75x","10x",1.4
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Genus","Trichocerca","","75x","10x",1.8
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Genus","Hexarthra","","75x","10x",1.5
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Order","Cyclopoida","nauplius","75x","10x",1.6
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","A","Order","Cyclopoida","nauplius","75x","10x",1.8
"BVR",50,2022-07-11 11:56:00,"8.4",0.1,1,"Tow","B","Order","Cyclopoida","nauplius","75x","10x",1
