"Reservoir","Site","DateTime","StartDepth_m","EndDepth_m","Rep","CollectionMethod","Taxon","Density_IndPerL","MeanLength_mm","MeanWeight_ug","Biomass_ugL","Flag_MeanLength_mm","Flag_MeanWeight_ug","Flag_Biomass_ugL"
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow","Copepoda",292.953094852566,0.285106382978723,38.7072261532327,241.263865845696,0,0,0
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow","Calanoida",37.3982674279872,0.670175438596491,7.1493449650972,44.5621858232731,0,0,0
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow","Cladocera",49.8643565706496,0.672368421052632,38.8189868426919,241.960475204418,0,0,0
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow","Cyclopoida",105.96175771263,0.302786377708978,10.256558136034,63.9295840103498,0,0,0
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow","Rotifera",405.147897136528,0.124137931034483,3.59706119822433,22.4206427743383,0,0,0
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow","Keratella",31.165222856656,0.113684210526316,0.0885120279924187,0.551699415575661,0,0,0
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow","Kellicottia",6.2330445713312,0.105263157894737,0.00349905233999125,0.0218097491925862,0,0,0
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow","Crustacea",342.817451423216,0.341435406698565,77.5262129959246,483.224341050114,0,0,0
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow","nauplius",149.593069711949,0.176315789473684,21.3013230521015,132.772096012073,0,0,0
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow","Ceriodaphnia",0,0,0,0,0,0,0
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow","Daphnia",31.165222856656,0.896842105263158,37.0100378564269,230.685215545764,0,0,0
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow","Bosmina",18.6991337139936,0.298245614035088,1.80894898626497,11.2752596586539,0,0,0
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow","Ploima",405.147897136528,0.124137931034483,3.59706119822433,22.4206427743383,0,0,0
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow","Gastropidae",56.0974011419808,0.126315789473684,0.369639889196676,2.30398190470481,0,0,0
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow","Conochilus",0,0,0,0,0,0,0
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow","Conochiloides",0,0,0,0,0,0,0
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow","Synchaetidae",305.419183995229,0.121457489878543,2.48011537900793,15.4586696994004,0,0,0
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow","Trichocercidae",6.2330445713312,0.210526315789474,0.485201924478787,3.02428522137196,0,0,0
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow","Monostyla",0,0,0,0,0,0,0
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow","Lecane",0,0,0,0,0,0,0
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow","Hexarthra",0,0,0,0,0,0,0
"BVR",50,2024-12-03 12:10:00,10,0,1,"Tow","Polyarthra",305.419183995229,0.121457489878543,2.48011537900793,15.4586696994004,0,0,0
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow","Copepoda",242.396177773991,0.34406015037594,29.9466067896054,207.3983720886,0,0,0
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow","Calanoida",55.4048406340551,0.556578947368421,6.67603458072053,46.2355790015327,0,0,0
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow","Cladocera",180.065732060679,0.435627530364373,45.2618375854186,313.465612278075,0,0,0
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow","Cyclopoida",96.9584711095965,0.330827067669173,10.320010916332,71.4723200201352,0,0,0
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow","Rotifera",1620.59158854611,0.12484700122399,10.041344097214,69.5423836822314,0,0,0
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow","Keratella",27.7024203170276,0.107894736842105,0.0630529231666424,0.436679644944893,0,0,0
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow","Kellicottia",0,0,0,0,0,0,0
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow","Crustacea",422.46190983467,0.383088869715272,75.208444375024,520.863984366675,0,0,0
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow","nauplius",90.0328660303396,0.22753036437247,12.9505612925529,89.690473066932,0,0,0
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow","Ceriodaphnia",0,0,0,0,0,0,0
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow","Daphnia",48.4792355547982,0.694736842105263,25.621512512341,177.444477193713,0,0,0
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow","Bosmina",131.586496505881,0.34016620498615,19.6403250730776,136.021135084363,0,0,0
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow","Ploima",1620.59158854611,0.12484700122399,10.041344097214,69.5423836822314,0,0,0
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow","Gastropidae",1198.12967871144,0.127688787185355,6.38557599345829,44.2239775342756,0,0,0
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow","Conochilus",0,0,0,0,0,0,0
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow","Conochiloides",0,0,0,0,0,0,0
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow","Synchaetidae",387.833884438386,0.124912280701754,3.4087102298683,23.6073808816908,0,0,0
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow","Trichocercidae",0,0,0,0,0,0,0
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow","Monostyla",0,0,0,0,0,0,0
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow","Lecane",6.92560507925689,0.126315789473684,0.0201545414783496,0.139582394832552,0,0,0
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow","Hexarthra",0,0,0,0,0,0,0
"BVR",50,2023-12-04 11:17:00,9,0,1,"Tow","Polyarthra",387.833884438386,0.124912280701754,3.4087102298683,23.6073808816908,0,0,0
"BVR",50,2024-11-04 11:00:00,10,0,1,"Tow","Copepoda",448.779209135846,0.310275689223058,90.2961956327221,375.213474666932,0,0,0
"BVR",50,2024-11-04 11:00:00,10,0,1,"Tow","Calanoida",83.1072609510827,0.525263157894737,14.2007639315854,59.0093296883497,0,0,0
"BVR",50,2024-11-04 11:00:00,10,0,1,"Tow","Cladocera",54.0197196182037,0.678542510121457,49.204237422098,204.461469966866,0,0,0
"BVR",50,2024-11-04 11:00:00,10,0,1,"Tow","Cyclopoida",141.282343616841,0.330434782608696,26.8719055067429,111.662523160086,0,0,0
"BVR",50,2024-11-04 11:00:00,10,0,1,"Tow","Rotifera",157.903795807057,0.154293628808864,10.3861157603149,43.1580816380322,0,0,0
"BVR",50,2024-11-04 11:00:00,10,0,1,"Tow","Keratella",16.6214521902165,0.110526315789474,0.0652503280361569,0.271138801962232,0,0,0
"BVR",50,2024-11-04 11:00:00,10,0,1,"Tow","Kellicottia",33.2429043804331,0.105263157894737,0.02799241871993,0.11631866236046,0,0,0
