"sample_ID","Project","site_no","collect_date","Hour","DepthOfTow_m","GenusRichness","GenusShannonDiversity","GenusEvenness","FamilyRichness","FamilyShannonDiversity","FamilyEvenness","OrderSubOrderRichness","OrderSubOrderShannonDiversity","OrderSubOrderEvenness"
"B03Dec24_10m","BVR_2024","BVR_50",2024-12-03,"12:10",10,7,1.14163160835672,0.586682591131431,7,1.38056049370865,0.709467749258039,4,0.950953519165971,0.685967963108327
"B04Dec23_9m","BVR_2023","BVR_50",2023-12-04,"11:17",9,7,1.1628618058585,0.597592754435777,7,1.1277382077168,0.579542795572699,4,0.624751092461826,0.45066265144232
"B04Nov24_10m","BVR_2024","BVR_50",2024-11-04,"11:00",10,9,1.88668628427623,0.858667932143529,8,1.67466812209015,0.805345131624765,5,1.35149170517785,0.839729010194538
"B05Mar24_9m","BVR_2024","BVR_50",2024-03-05,"10:50",9,10,1.96527035028631,0.853506068577413,10,2.07684159864085,0.90196084607685,5,1.37770387991276,0.856015550068119
"B07Apr25_7m","BVR_2025","BVR_50",2025-04-07,"12:30",7,7,1.62318811436467,0.834153681326285,7,1.36725744377397,0.702631333948147,4,0.875968813495108,0.631877931601391
"B10Mar25_8m","BVR_2025","BVR_50",2025-03-10,"10:45",8,7,1.48714746764438,0.76424261848182,7,1.56676484301535,0.805157855708793,5,1.15111951264854,0.715230767061773
"B11Jul22_8.4m","BVR_2022","BVR_50",2022-07-11,"11:56",8.4,8,1.44635424376638,0.695549364950156,7,1.29385009747226,0.664907420365937,4,0.983259307632004,0.709271663514304
"B12May25_6m","BVR_2025","BVR_50",2025-05-12,"11:05",6,6,1.52161320717313,0.849228500424048,7,1.46980590111858,0.755330816190118,4,1.1246106655292,0.811235115044908
"B14Aug23_10m","BVR_2023","BVR_50",2023-08-14,"11:25",10,6,1.22279188518043,0.682453145179831,6,1.37100746480094,0.765173835186492,4,1.14946286817457,0.82916218980073
"B14Jun23_9m","BVR_2023","BVR_50",2023-06-14,"11:30",9,8,1.32706004724796,0.638180983042166,6,1.383414777371,0.772098488178784,4,0.858601019018999,0.61934971612046
"B16Nov22_8m","BVR_2022","BVR_50",2022-11-16,"11:10",8,7,1.44612126051826,0.743159318645987,7,1.60184854696146,0.82318731301089,5,1.29060283690509,0.801896629210872
"B17Oct23_9m","BVR_2023","BVR_50",2023-10-17,"11:45",9,6,0.680407625016825,0.379742725908386,6,1.00166613771236,0.559040515713812,5,1.00983093355483,0.62744323701656
"B18Aug22_6.5m","BVR_2022","BVR_50",2022-08-18,"10:52",6.5,7,0.98927165824684,0.508385065326426,6,1.24252785184823,0.693467997902392,4,1.18801213982303,0.856969611319284
"B18Sep23_9m","BVR_2023","BVR_50",2023-09-18,"11:20",9,7,0.65655618912214,0.337403137262468,6,0.522051665300805,0.291362582013155,5,0.490386371112159,0.304694183803899
"B19Aug24_10m","BVR_2024","BVR_50",2024-08-19,"9:30",10,5,1.22933621590766,0.763829537262747,6,1.17352213556852,0.654955174353902,4,1.08444546351435,0.78226204616334
"B20May24_10m","BVR_2024","BVR_50",2024-05-20,"12:19",10,6,0.206390786754857,0.115188891310158,5,0.540678545322804,0.33594246857593,4,0.524948890927872,0.378670580830901
"B22Jul24_10m","BVR_2024","BVR_50",2024-07-22,"9:58",10,7,1.46608695523689,0.753419656066151,6,1.36204106771367,0.760169593690205,4,1.26234315547084,0.910588105148953
"B22May23_10m","BVR_2023","BVR_50",2023-05-22,"10:55",10,7,1.03157352134185,0.530123922650104,7,1.14863242651592,0.590280299978674,4,1.05580153469422,0.761599819133153
"B23Sep24_9m","BVR_2024","BVR_50",2024-09-23,"11:23",9,9,1.39740920000325,0.635988334746092,7,1.44051178465041,0.740276618295937,5,1.30562534174833,0.811230636274567
"B24Apr23_9m","BVR_2023","BVR_50",2023-04-24,"11:18",9,8,0.923951795390635,0.444326891076841,8,0.454526359900526,0.218580975127267,3,0.111982248882421,0.101930635618669
"B24Jul23_9m","BVR_2023","BVR_50",2023-07-24,"13:52",9,7,0.994806081993209,0.511229196515656,7,0.912635474770378,0.469001857672328,4,0.860811386504214,0.620944159225191
"B29Apr24_10m","BVR_2024","BVR_50",2024-04-29,"11:10",10,10,1.2911412211731,0.560735507713302,8,1.28279189680868,0.61689250267281,5,0.850520967594835,0.528458389742114
"B2Jun25_7m","BVR_2025","BVR_50",2025-06-02,"11:00",7,8,0.938429509808729,0.451289200008305,8,1.01907986763687,0.490073823769832,5,0.854726398177236,0.531071370677826
"B30Jun25_7m","BVR_2025","BVR_50",2025-06-30,"9:15",7,5,1.12567712631496,0.699422523614157,5,1.01947573342251,0.633435888111186,5,0.972406161862365,0.604189918946116
"F07Apr25_9m","FCR_2025","FCR_50",2025-04-07,"13:30",9,7,1.36563042255508,0.701795210440756,8,1.1592384739437,0.557475865855422,3,0.35645640046235,0.324460598283036
